cluster,stId,name,entities_found,entities_tot,FDR_wholeproteome,K_network_annotated,N_network,p_network_raw,FDR_network
1,R-HSA-182971,EGFR downregulation,1,37,0.2631984985906639,6,1800,0.3626448921277454,0.8096675561862039
1,R-HSA-162588,Budding and maturation of HIV virion,1,37,0.2631984985906639,7,1800,0.40883004487211155,0.8228803095963371
1,R-HSA-1538133,G0 and Early G1,1,38,0.2692628603451922,8,1800,0.4516923394435704,0.8377068612522613
1,R-HSA-9668328,Sealing of the nuclear envelope (NE) by ESCRT-III,1,39,0.2752776778523377,11,1800,0.5626325774376919,0.8841369074020873
1,R-HSA-9930044,Nuclear RNA decay,1,39,0.2752776778523377,10,1800,0.5283809118153424,0.8541211155151235
1,R-HSA-1483249,Inositol phosphate metabolism,2,125,0.275577305542233,16,1800,0.32340511835394076,0.7926940672697135
1,R-HSA-5223345,Miscellaneous transport and binding events,1,40,0.2812433528569654,4,1800,0.2592647351334294,0.7642378793802396
1,R-HSA-1368108,"BMAL1:CLOCK,NPAS2 activates circadian expression",1,41,0.2871602838707912,5,1800,0.31288143025183374,0.7926940672697135
1,R-HSA-9772755,Formation of WDR5-containing histone-modifying complexes,1,42,0.2930288661981187,8,1800,0.4516923394435704,0.8377068612522613
1,R-HSA-74158,RNA Polymerase III Transcription,1,43,0.2988494919615335,7,1800,0.40883004487211155,0.8228803095963371
1,R-HSA-749476,RNA Polymerase III Abortive And Retractive Initiation,1,43,0.2988494919615335,7,1800,0.40883004487211155,0.8228803095963371
1,R-HSA-68875,Mitotic Prophase,2,134,0.3029279677106109,42,1800,0.820164130803171,0.9913828291253998
1,R-HSA-3899300,SUMOylation of transcription cofactors,1,44,0.3046225501272859,12,1800,0.594414447159939,0.884755497257863
1,R-HSA-9696270,RND2 GTPase cycle,1,44,0.3046225501272859,18,1800,0.7423095845892007,0.9620161570394526
1,R-HSA-3371556,Cellular response to heat stress,2,135,0.3059582446194633,40,1800,0.7982039926899188,0.9835792368938617
1,R-HSA-9931509,"Expression of BMAL (ARNTL), CLOCK, and NPAS2",1,46,0.3160275039001303,8,1800,0.4516923394435704,0.8377068612522613
1,R-HSA-201556,Signaling by ALK,1,46,0.3160275039001303,10,1800,0.5283809118153424,0.8541211155151235
1,R-HSA-5578749,Transcriptional regulation by small RNAs,1,46,0.3160275039001303,10,1800,0.5283809118153424,0.8541211155151235
