model,true,false,fraction_retained_by_reference
032_rep1,12412,846900,0.014
064_rep1,13697,1828648,0.007
096_rep1,14108,4415368,0.003
124_rep1,14540,16373089,0.001
128_rep1,14524,16161587,0.001
128_rep2,14474,13183346,0.001
128_rep3,14509,17157097,0.001
128_rep4,14554,17618593,0.001
132_rep1,14472,12685092,0.001
160_rep1,14554,17680896,0.001
192_rep1,14558,18502200,0.001
256_rep1,14566,20269979,0.001
512_rep1,14553,21408087,0.001
