stId,name,FDR,entities_found,entities_tot,reactions_found,reactions_tot,token
R-HSA-199991,Membrane Trafficking,0.01712579781376178,10,669,58,219,MjAyNjA5MTMxMzA5MDRfMjMxMzA%3D
R-HSA-6807878,COPI-mediated anterograde transport,0.019144968627941572,4,107,10,12,MjAyNjA5MTMxMzA5MDRfMjMxMzA%3D
R-HSA-6811434,COPI-dependent Golgi-to-ER retrograde traffic,0.019144968627941572,4,107,8,11,MjAyNjA5MTMxMzA5MDRfMjMxMzA%3D
R-HSA-199977,ER to Golgi Anterograde Transport,0.019144968627941572,5,165,16,39,MjAyNjA5MTMxMzA5MDRfMjMxMzA%3D
R-HSA-5653656,Vesicle-mediated transport,0.019144968627941572,10,833,58,254,MjAyNjA5MTMxMzA5MDRfMjMxMzA%3D
R-HSA-948021,Transport to the Golgi and subsequent modification,0.02660681954504085,5,220,16,60,MjAyNjA5MTMxMzA5MDRfMjMxMzA%3D
R-HSA-6811442,Intra-Golgi and retrograde Golgi-to-ER traffic,0.02660681954504085,5,219,12,48,MjAyNjA5MTMxMzA5MDRfMjMxMzA%3D
R-HSA-165159,MTOR signalling,0.039521132696688,3,64,15,33,MjAyNjA5MTMxMzA5MDRfMjMxMzA%3D
R-HSA-8856688,Golgi-to-ER retrograde transport,0.04093519005486823,4,148,10,18,MjAyNjA5MTMxMzA5MDRfMjMxMzA%3D
R-HSA-9609523,Insertion of tail-anchored proteins into the endoplasmic reticulum membrane,0.0804800793870859,2,25,5,7,MjAyNjA5MTMxMzA5MDRfMjMxMzA%3D
R-HSA-166208,mTORC1-mediated signalling,0.09260878425925512,2,28,3,8,MjAyNjA5MTMxMzA5MDRfMjMxMzA%3D
R-HSA-9619483,Activation of AMPK downstream of NMDARs,0.12362049777512918,2,34,3,3,MjAyNjA5MTMxMzA5MDRfMjMxMzA%3D
R-HSA-380972,Energy dependent regulation of mTOR by LKB1-AMPK,0.13174401807320058,2,36,6,7,MjAyNjA5MTMxMzA5MDRfMjMxMzA%3D
R-HSA-373760,L1CAM interactions,0.17805941228688393,3,130,5,54,MjAyNjA5MTMxMzA5MDRfMjMxMzA%3D
R-HSA-426486,Small interfering RNA (siRNA) biogenesis,0.20710326524514477,1,9,3,5,MjAyNjA5MTMxMzA5MDRfMjMxMzA%3D
R-HSA-389958,Cooperation of Prefoldin and TriC/CCT  in actin and tubulin folding,0.20710326524514477,1,37,4,6,MjAyNjA5MTMxMzA5MDRfMjMxMzA%3D
R-HSA-2151209,Activation of PPARGC1A (PGC-1alpha) by phosphorylation,0.20710326524514477,1,13,1,2,MjAyNjA5MTMxMzA5MDRfMjMxMzA%3D
R-HSA-9603798,Class I peroxisomal membrane protein import,0.20710326524514477,1,20,3,6,MjAyNjA5MTMxMzA5MDRfMjMxMzA%3D
R-HSA-190840,Microtubule-dependent trafficking of connexons from Golgi to the plasma membrane,0.20710326524514477,1,22,1,2,MjAyNjA5MTMxMzA5MDRfMjMxMzA%3D
R-HSA-181429,Serotonin Neurotransmitter Release Cycle,0.20710326524514477,1,23,2,4,MjAyNjA5MTMxMzA5MDRfMjMxMzA%3D
R-HSA-350054,Notch-HLH transcription pathway,0.20710326524514477,1,28,1,2,MjAyNjA5MTMxMzA5MDRfMjMxMzA%3D
R-HSA-525793,Myogenesis,0.20710326524514477,1,32,7,14,MjAyNjA5MTMxMzA5MDRfMjMxMzA%3D
R-HSA-445095,Interaction between L1 and Ankyrins,0.20710326524514477,1,33,2,4,MjAyNjA5MTMxMzA5MDRfMjMxMzA%3D
R-HSA-9013424,RHOV GTPase cycle,0.20710326524514477,1,39,1,2,MjAyNjA5MTMxMzA5MDRfMjMxMzA%3D
R-HSA-5663213,RHO GTPases Activate WASPs and WAVEs,0.20710326524514477,1,41,5,10,MjAyNjA5MTMxMzA5MDRfMjMxMzA%3D
R-HSA-5620924,Intraflagellar transport,0.20710326524514477,1,56,6,12,MjAyNjA5MTMxMzA5MDRfMjMxMzA%3D
R-HSA-212676,Dopamine Neurotransmitter Release Cycle,0.20710326524514477,1,28,2,5,MjAyNjA5MTMxMzA5MDRfMjMxMzA%3D
R-HSA-203927,MicroRNA (miRNA) biogenesis,0.20710326524514477,1,31,3,8,MjAyNjA5MTMxMzA5MDRfMjMxMzA%3D
