stId,name,FDR,entities_found,entities_tot,reactions_found,reactions_tot,token
R-HSA-4419969,Depolymerization of the Nuclear Lamina,0.0029227151020203568,3,23,2,6,MjAyNjA5MTMxMzA5MTFfMjMxMzE%3D
R-HSA-2995383,Initiation of Nuclear Envelope (NE) Reformation,0.0029227151020203568,3,27,1,7,MjAyNjA5MTMxMzA5MTFfMjMxMzE%3D
R-HSA-2980766,Nuclear Envelope Breakdown,0.025660902640908256,3,65,3,13,MjAyNjA5MTMxMzA5MTFfMjMxMzE%3D
R-HSA-2995410,Nuclear Envelope (NE) Reassembly,0.04562434192884468,3,88,1,24,MjAyNjA5MTMxMzA5MTFfMjMxMzE%3D
R-HSA-9770562,mRNA Polyadenylation,0.09991634382036818,3,139,13,20,MjAyNjA5MTMxMzA5MTFfMjMxMzE%3D
R-HSA-9696273,RND1 GTPase cycle,0.09991634382036818,2,43,1,2,MjAyNjA5MTMxMzA5MTFfMjMxMzE%3D
R-HSA-9696270,RND2 GTPase cycle,0.09991634382036818,2,44,1,2,MjAyNjA5MTMxMzA5MTFfMjMxMzE%3D
R-HSA-68875,Mitotic Prophase,0.09991634382036818,3,134,3,34,MjAyNjA5MTMxMzA5MTFfMjMxMzE%3D
R-HSA-72187,mRNA 3'-end processing,0.11445588164243903,3,164,13,21,MjAyNjA5MTMxMzA5MTFfMjMxMzE%3D
R-HSA-352238,Breakdown of the nuclear lamina,0.11923776324324797,1,3,1,3,MjAyNjA5MTMxMzA5MTFfMjMxMzE%3D
R-HSA-9645135,STAT5 Activation,0.13435455726818002,1,9,3,3,MjAyNjA5MTMxMzA5MTFfMjMxMzE%3D
R-HSA-170984,ARMS-mediated activation,0.13435455726818002,1,12,6,6,MjAyNjA5MTMxMzA5MTFfMjMxMzE%3D
R-HSA-9700645,ALK mutants bind TKIs,0.13435455726818002,1,12,1,1,MjAyNjA5MTMxMzA5MTFfMjMxMzE%3D
R-HSA-73863,RNA Polymerase I Transcription Termination,0.13435455726818002,1,33,3,3,MjAyNjA5MTMxMzA5MTFfMjMxMzE%3D
R-HSA-5250924,B-WICH complex positively regulates rRNA expression,0.13435455726818002,1,61,3,3,MjAyNjA5MTMxMzA5MTFfMjMxMzE%3D
R-HSA-73772,RNA Polymerase I Promoter Escape,0.13435455726818002,1,62,2,2,MjAyNjA5MTMxMzA5MTFfMjMxMzE%3D
R-HSA-72163,mRNA Splicing - Major Pathway,0.13435455726818002,3,213,10,11,MjAyNjA5MTMxMzA5MTFfMjMxMzE%3D
R-HSA-73762,RNA Polymerase I Transcription Initiation,0.13435455726818002,1,50,4,6,MjAyNjA5MTMxMzA5MTFfMjMxMzE%3D
R-HSA-72172,mRNA Splicing,0.13435455726818002,3,224,10,16,MjAyNjA5MTMxMzA5MTFfMjMxMzE%3D
R-HSA-9619229,Activation of RAC1 downstream of NMDARs,0.13435455726818002,1,12,3,6,MjAyNjA5MTMxMzA5MTFfMjMxMzE%3D
R-HSA-9013418,RHOBTB2 GTPase cycle,0.13435455726818002,1,24,1,2,MjAyNjA5MTMxMzA5MTFfMjMxMzE%3D
R-HSA-912526,Interleukin receptor SHC signaling,0.13435455726818002,1,29,3,6,MjAyNjA5MTMxMzA5MTFfMjMxMzE%3D
R-HSA-9696264,RND3 GTPase cycle,0.13435455726818002,1,43,1,2,MjAyNjA5MTMxMzA5MTFfMjMxMzE%3D
R-HSA-72203,Processing of Capped Intron-Containing Pre-mRNA,0.13435455726818002,3,317,24,52,MjAyNjA5MTMxMzA5MTFfMjMxMzE%3D
R-HSA-9703648,Signaling by FLT3 ITD and TKD mutants,0.13435455726818002,1,30,9,24,MjAyNjA5MTMxMzA5MTFfMjMxMzE%3D
R-HSA-1839117,Signaling by cytosolic FGFR1 fusion mutants,0.13435455726818002,1,23,5,14,MjAyNjA5MTMxMzA5MTFfMjMxMzE%3D
R-HSA-9619483,Activation of AMPK downstream of NMDARs,0.13435455726818002,1,34,1,3,MjAyNjA5MTMxMzA5MTFfMjMxMzE%3D
R-HSA-169893,Prolonged ERK activation events,0.13435455726818002,1,20,6,19,MjAyNjA5MTMxMzA5MTFfMjMxMzE%3D
