stId,name,FDR,entities_found,entities_tot,reactions_found,reactions_tot,token
R-HSA-162588,Budding and maturation of HIV virion,0.002962566579911563,4,37,2,4,MjAyNjA5MTMxMzA3MDZfMjMxMTM%3D
R-HSA-140342,Apoptosis induced DNA fragmentation,0.002962566579911563,3,13,2,12,MjAyNjA5MTMxMzA3MDZfMjMxMTM%3D
R-HSA-2559584,Formation of Senescence-Associated Heterochromatin Foci (SAHF),0.004383000563343509,3,17,1,2,MjAyNjA5MTMxMzA3MDZfMjMxMTM%3D
R-HSA-75153,Apoptotic execution phase,0.004457913355769838,4,54,3,57,MjAyNjA5MTMxMzA3MDZfMjMxMTM%3D
R-HSA-917729,Endosomal Sorting Complex Required For Transport (ESCRT),0.01808736262170485,3,35,3,4,MjAyNjA5MTMxMzA3MDZfMjMxMTM%3D
R-HSA-9012999,RHO GTPase cycle,0.01808736262170485,8,460,21,91,MjAyNjA5MTMxMzA3MDZfMjMxMTM%3D
R-HSA-2142845,Hyaluronan metabolism,0.024674224024157088,3,41,4,15,MjAyNjA5MTMxMzA3MDZfMjMxMTM%3D
R-HSA-9013405,RHOD GTPase cycle,0.054682925492214984,3,57,2,9,MjAyNjA5MTMxMzA3MDZfMjMxMTM%3D
R-HSA-2559586,DNA Damage/Telomere Stress Induced Senescence,0.08879504206412703,3,70,1,18,MjAyNjA5MTMxMzA3MDZfMjMxMTM%3D
R-HSA-9662360,Sensory processing of sound by inner hair cells of the cochlea,0.09365901041035618,3,76,2,7,MjAyNjA5MTMxMzA3MDZfMjMxMTM%3D
R-HSA-162599,Late Phase of HIV Life Cycle,0.09365901041035618,4,161,4,78,MjAyNjA5MTMxMzA3MDZfMjMxMTM%3D
R-HSA-194315,Signaling by Rho GTPases,0.09412923711938981,8,708,26,203,MjAyNjA5MTMxMzA3MDZfMjMxMTM%3D
R-HSA-9659379,Sensory processing of sound,0.09412923711938981,3,87,3,13,MjAyNjA5MTMxMzA3MDZfMjMxMTM%3D
R-HSA-3000171,Non-integrin membrane-ECM interactions,0.09412923711938981,3,83,13,33,MjAyNjA5MTMxMzA3MDZfMjMxMTM%3D
R-HSA-109581,Apoptosis,0.09412923711938981,4,180,3,142,MjAyNjA5MTMxMzA3MDZfMjMxMTM%3D
R-HSA-162587,HIV Life Cycle,0.09412923711938981,4,176,4,117,MjAyNjA5MTMxMzA3MDZfMjMxMTM%3D
R-HSA-3000170,Syndecan interactions,0.0947163413131995,2,29,9,15,MjAyNjA5MTMxMzA3MDZfMjMxMTM%3D
R-HSA-9938206,Developmental Lineage of Mammary Stem Cells,0.0947163413131995,2,28,1,1,MjAyNjA5MTMxMzA3MDZfMjMxMTM%3D
R-HSA-9716542,"Signaling by Rho GTPases, Miro GTPases and RHOBTB3",0.0947163413131995,8,724,26,212,MjAyNjA5MTMxMzA3MDZfMjMxMTM%3D
R-HSA-2160916,Hyaluronan degradation,0.1017367405255265,2,31,2,12,MjAyNjA5MTMxMzA3MDZfMjMxMTM%3D
R-HSA-2559583,Cellular Senescence,0.10174509800840958,4,199,3,90,MjAyNjA5MTMxMzA3MDZfMjMxMTM%3D
R-HSA-9035034,RHOF GTPase cycle,0.11729277055034526,2,46,1,3,MjAyNjA5MTMxMzA3MDZfMjMxMTM%3D
R-HSA-1474244,Extracellular matrix organization,0.11729277055034526,5,351,16,330,MjAyNjA5MTMxMzA3MDZfMjMxMTM%3D
