stId,name,FDR,entities_found,entities_tot,reactions_found,reactions_tot,token
R-HSA-72163,mRNA Splicing - Major Pathway,0.010248316527638801,6,213,11,11,MjAyNjA5MTMxMzA4MDVfMjMxMjI%3D
R-HSA-9770562,mRNA Polyadenylation,0.010248316527638801,5,139,13,20,MjAyNjA5MTMxMzA4MDVfMjMxMjI%3D
R-HSA-72172,mRNA Splicing,0.010248316527638801,6,224,11,16,MjAyNjA5MTMxMzA4MDVfMjMxMjI%3D
R-HSA-166208,mTORC1-mediated signalling,0.010248316527638801,3,28,5,8,MjAyNjA5MTMxMzA4MDVfMjMxMjI%3D
R-HSA-429914,Deadenylation-dependent mRNA decay,0.010248316527638801,4,67,5,10,MjAyNjA5MTMxMzA4MDVfMjMxMjI%3D
R-HSA-8953854,Metabolism of RNA,0.012854734994330652,11,863,39,244,MjAyNjA5MTMxMzA4MDVfMjMxMjI%3D
R-HSA-72187,mRNA 3'-end processing,0.014657257776029997,5,164,13,21,MjAyNjA5MTMxMzA4MDVfMjMxMjI%3D
R-HSA-428890,Role of ABL in ROBO-SLIT signaling,0.024683786574504762,2,10,1,4,MjAyNjA5MTMxMzA4MDVfMjMxMjI%3D
R-HSA-72203,Processing of Capped Intron-Containing Pre-mRNA,0.034835365768885795,6,317,25,52,MjAyNjA5MTMxMzA4MDVfMjMxMjI%3D
R-HSA-165159,MTOR signalling,0.05220595132490513,3,64,5,33,MjAyNjA5MTMxMzA4MDVfMjMxMjI%3D
R-HSA-4839726,Chromatin organization,0.06311036041770857,6,389,10,150,MjAyNjA5MTMxMzA4MDVfMjMxMjI%3D
R-HSA-3247509,Chromatin modifying enzymes,0.06311036041770857,5,254,9,85,MjAyNjA5MTMxMzA4MDVfMjMxMjI%3D
R-HSA-5250913,Positive epigenetic regulation of rRNA expression,0.06311036041770857,3,79,5,7,MjAyNjA5MTMxMzA4MDVfMjMxMjI%3D
R-HSA-9918481,Dengue Virus-Host Interactions,0.06311036041770857,5,273,3,59,MjAyNjA5MTMxMzA4MDVfMjMxMjI%3D
