stId,name,FDR,entities_found,entities_tot,reactions_found,reactions_tot,token
R-HSA-9839923,Dengue Virus Infection,6.478162496437179e-07,14,411,14,142,MjAyNjA5MTMxMzA3NThfMjMxMjE%3D
R-HSA-9824446,Viral Infection Pathways,7.872563596578175e-07,23,1407,65,899,MjAyNjA5MTMxMzA3NThfMjMxMjE%3D
R-HSA-2262752,Cellular responses to stress,3.6306582716916225e-06,19,1039,128,521,MjAyNjA5MTMxMzA3NThfMjMxMjE%3D
R-HSA-9918487,Dengue Virus Genome Translation and Replication,5.309196692948603e-06,8,116,7,64,MjAyNjA5MTMxMzA3NThfMjMxMjE%3D
R-HSA-5663205,Infectious disease,7.73708305545906e-06,25,1965,100,1227,MjAyNjA5MTMxMzA3NThfMjMxMjE%3D
R-HSA-8953897,Cellular responses to stimuli,1.136579357841061e-05,19,1166,128,613,MjAyNjA5MTMxMzA3NThfMjMxMjE%3D
R-HSA-422475,Axon guidance,0.00027997521646339063,12,566,22,295,MjAyNjA5MTMxMzA3NThfMjMxMjE%3D
R-HSA-9613829,Chaperone Mediated Autophagy,0.0002964648356633681,4,23,15,19,MjAyNjA5MTMxMzA3NThfMjMxMjE%3D
R-HSA-75153,Apoptotic execution phase,0.0002964648356633681,5,54,7,57,MjAyNjA5MTMxMzA3NThfMjMxMjE%3D
R-HSA-9837999,Mitochondrial protein degradation,0.00034477197916515934,6,104,8,20,MjAyNjA5MTMxMzA3NThfMjMxMjE%3D
R-HSA-9675108,Nervous system development,0.00034477197916515934,12,603,22,322,MjAyNjA5MTMxMzA3NThfMjMxMjE%3D
R-HSA-1643685,Disease,0.000440512123009551,28,3093,222,2176,MjAyNjA5MTMxMzA3NThfMjMxMjE%3D
R-HSA-373755,Semaphorin interactions,0.0007051206422108436,5,71,4,41,MjAyNjA5MTMxMzA3NThfMjMxMjE%3D
R-HSA-2559586,DNA Damage/Telomere Stress Induced Senescence,0.0007051206422108436,5,70,2,18,MjAyNjA5MTMxMzA3NThfMjMxMjE%3D
R-HSA-9918481,Dengue Virus-Host Interactions,0.0008137063010392742,8,273,6,59,MjAyNjA5MTMxMzA3NThfMjMxMjE%3D
