stId,name,FDR,entities_found,entities_tot,reactions_found,reactions_tot,token
R-HSA-9820865,Z-decay: degradation of maternal mRNAs by zygotically expressed factors,0.07479679762227898,2,16,4,4,MjAyNjA5MTMxMzA4NTdfMjMxMjk%3D
R-HSA-8953854,Metabolism of RNA,0.07479679762227898,9,863,49,244,MjAyNjA5MTMxMzA4NTdfMjMxMjk%3D
R-HSA-9839923,Dengue Virus Infection,0.07479679762227898,6,411,3,142,MjAyNjA5MTMxMzA4NTdfMjMxMjk%3D
R-HSA-429947,Deadenylation of mRNA,0.08380669695436382,2,30,4,4,MjAyNjA5MTMxMzA4NTdfMjMxMjk%3D
R-HSA-72163,mRNA Splicing - Major Pathway,0.08380669695436382,4,213,10,11,MjAyNjA5MTMxMzA4NTdfMjMxMjk%3D
R-HSA-166208,mTORC1-mediated signalling,0.08380669695436382,2,28,2,8,MjAyNjA5MTMxMzA4NTdfMjMxMjk%3D
R-HSA-9824446,Viral Infection Pathways,0.08380669695436382,10,1407,7,899,MjAyNjA5MTMxMzA4NTdfMjMxMjk%3D
R-HSA-72172,mRNA Splicing,0.08380669695436382,4,224,10,16,MjAyNjA5MTMxMzA4NTdfMjMxMjk%3D
R-HSA-72203,Processing of Capped Intron-Containing Pre-mRNA,0.08380669695436382,5,317,28,52,MjAyNjA5MTMxMzA4NTdfMjMxMjk%3D
R-HSA-9759475,Regulation of CDH11 Expression and Function,0.10182870084429163,2,35,12,28,MjAyNjA5MTMxMzA4NTdfMjMxMjk%3D
R-HSA-9764260,Regulation of Expression and Function of Type II Classical Cadherins,0.10641574442942192,2,39,13,33,MjAyNjA5MTMxMzA4NTdfMjMxMjk%3D
R-HSA-77042,Formation of editosomes by ADAR proteins,0.10641574442942192,1,2,2,4,MjAyNjA5MTMxMzA4NTdfMjMxMjk%3D
R-HSA-9770562,mRNA Polyadenylation,0.10641574442942192,3,139,15,20,MjAyNjA5MTMxMzA4NTdfMjMxMjk%3D
R-HSA-9918481,Dengue Virus-Host Interactions,0.10641574442942192,4,273,2,59,MjAyNjA5MTMxMzA4NTdfMjMxMjk%3D
R-HSA-1169410,Antimicrobial mechanism of IFN-stimulated genes,0.11073107750136213,4,284,5,103,MjAyNjA5MTMxMzA4NTdfMjMxMjk%3D
R-HSA-9820841,M-decay: degradation of maternal mRNAs by maternally stored factors,0.11805906884901007,2,48,2,7,MjAyNjA5MTMxMzA4NTdfMjMxMjk%3D
R-HSA-72702,Ribosomal scanning and start codon recognition,0.1180717576109439,2,64,2,2,MjAyNjA5MTMxMzA4NTdfMjMxMjk%3D
R-HSA-72662,"Activation of the mRNA upon binding of the cap-binding complex and eIFs, and subsequent binding to 43S",0.1180717576109439,2,66,5,6,MjAyNjA5MTMxMzA4NTdfMjMxMjk%3D
R-HSA-9673766,Signaling by cytosolic PDGFRA and PDGFRB fusion proteins,0.1180717576109439,1,5,2,2,MjAyNjA5MTMxMzA4NTdfMjMxMjk%3D
R-HSA-72649,Translation initiation complex formation,0.1180717576109439,2,62,2,2,MjAyNjA5MTMxMzA4NTdfMjMxMjk%3D
R-HSA-72187,mRNA 3'-end processing,0.1180717576109439,3,164,16,21,MjAyNjA5MTMxMzA4NTdfMjMxMjk%3D
R-HSA-75064,mRNA Editing: A to I Conversion,0.1180717576109439,1,4,3,6,MjAyNjA5MTMxMzA4NTdfMjMxMjk%3D
R-HSA-75102,C6 deamination of adenosine,0.1180717576109439,1,4,1,2,MjAyNjA5MTMxMzA4NTdfMjMxMjk%3D
R-HSA-8875513,MET interacts with TNS proteins,0.1180717576109439,1,5,1,2,MjAyNjA5MTMxMzA4NTdfMjMxMjk%3D
R-HSA-429914,Deadenylation-dependent mRNA decay,0.1180717576109439,2,67,4,10,MjAyNjA5MTMxMzA4NTdfMjMxMjk%3D
R-HSA-9824585,Regulation of MITF-M-dependent genes involved in pigmentation,0.1180717576109439,2,53,6,23,MjAyNjA5MTMxMzA4NTdfMjMxMjk%3D
R-HSA-165159,MTOR signalling,0.1180717576109439,2,64,2,33,MjAyNjA5MTMxMzA4NTdfMjMxMjk%3D
R-HSA-5663205,Infectious disease,0.1180717576109439,11,1965,18,1227,MjAyNjA5MTMxMzA4NTdfMjMxMjk%3D
R-HSA-9932444,ATP-dependent chromatin remodelers,0.12771371747115423,3,196,12,65,MjAyNjA5MTMxMzA4NTdfMjMxMjk%3D
R-HSA-9833576,CDH11 homotypic and heterotypic interactions,0.13046181356989006,1,8,3,3,MjAyNjA5MTMxMzA4NTdfMjMxMjk%3D
R-HSA-8951430,RUNX3 regulates WNT signaling,0.13046181356989006,1,10,5,5,MjAyNjA5MTMxMzA4NTdfMjMxMjk%3D
R-HSA-4411364,Binding of TCF/LEF:CTNNB1 to target gene promoters,0.13046181356989006,1,10,4,4,MjAyNjA5MTMxMzA4NTdfMjMxMjk%3D
R-HSA-9754189,Germ layer formation at gastrulation,0.13046181356989006,1,24,8,11,MjAyNjA5MTMxMzA4NTdfMjMxMjk%3D
R-HSA-9609523,Insertion of tail-anchored proteins into the endoplasmic reticulum membrane,0.13046181356989006,1,25,5,7,MjAyNjA5MTMxMzA4NTdfMjMxMjk%3D
R-HSA-73863,RNA Polymerase I Transcription Termination,0.13046181356989006,1,33,2,3,MjAyNjA5MTMxMzA4NTdfMjMxMjk%3D
R-HSA-1566948,Elastic fibre formation,0.13046181356989006,1,45,11,17,MjAyNjA5MTMxMzA4NTdfMjMxMjk%3D
R-HSA-5663213,RHO GTPases Activate WASPs and WAVEs,0.13046181356989006,1,41,6,10,MjAyNjA5MTMxMzA4NTdfMjMxMjk%3D
R-HSA-525793,Myogenesis,0.13046181356989006,1,32,8,14,MjAyNjA5MTMxMzA4NTdfMjMxMjk%3D
R-HSA-9842860,Regulation of endogenous retroelements,0.13046181356989006,2,113,9,17,MjAyNjA5MTMxMzA4NTdfMjMxMjk%3D
R-HSA-68884,Mitotic Telophase/Cytokinesis,0.13046181356989006,1,15,2,4,MjAyNjA5MTMxMzA4NTdfMjMxMjk%3D
R-HSA-9933947,Formation of the non-canonical BAF (ncBAF) complex,0.13046181356989006,1,17,1,2,MjAyNjA5MTMxMzA4NTdfMjMxMjk%3D
R-HSA-9013422,RHOBTB1 GTPase cycle,0.13046181356989006,1,24,1,2,MjAyNjA5MTMxMzA4NTdfMjMxMjk%3D
R-HSA-9013418,RHOBTB2 GTPase cycle,0.13046181356989006,1,24,1,2,MjAyNjA5MTMxMzA4NTdfMjMxMjk%3D
R-HSA-75067,Processing of Capped Intronless Pre-mRNA,0.13046181356989006,1,30,5,10,MjAyNjA5MTMxMzA4NTdfMjMxMjk%3D
R-HSA-9706574,RHOBTB GTPase Cycle,0.13046181356989006,1,36,2,4,MjAyNjA5MTMxMzA4NTdfMjMxMjk%3D
R-HSA-2129379,Molecules associated with elastic fibres,0.13046181356989006,1,37,5,10,MjAyNjA5MTMxMzA4NTdfMjMxMjk%3D
R-HSA-450408,AUF1 (hnRNP D0) binds and destabilizes mRNA,0.13046181356989006,1,43,2,4,MjAyNjA5MTMxMzA4NTdfMjMxMjk%3D
R-HSA-9696273,RND1 GTPase cycle,0.13046181356989006,1,43,1,2,MjAyNjA5MTMxMzA4NTdfMjMxMjk%3D
R-HSA-2470946,Cohesin Loading onto Chromatin,0.13046181356989006,1,10,2,2,MjAyNjA5MTMxMzA4NTdfMjMxMjk%3D
R-HSA-2468052,Establishment of Sister Chromatid Cohesion,0.13046181356989006,1,13,4,4,MjAyNjA5MTMxMzA4NTdfMjMxMjk%3D
R-HSA-8876493,InlA-mediated entry of Listeria monocytogenes into host cells,0.13046181356989006,1,14,5,5,MjAyNjA5MTMxMzA4NTdfMjMxMjk%3D
R-HSA-5339716,Signaling by GSK3beta mutants,0.13046181356989006,1,15,1,1,MjAyNjA5MTMxMzA4NTdfMjMxMjk%3D
R-HSA-4839743,Signaling by CTNNB1 phospho-site mutants,0.13046181356989006,1,16,4,4,MjAyNjA5MTMxMzA4NTdfMjMxMjk%3D
R-HSA-5358749,CTNNB1 S37 mutants aren't phosphorylated,0.13046181356989006,1,16,1,1,MjAyNjA5MTMxMzA4NTdfMjMxMjk%3D
R-HSA-5358747,CTNNB1 S33 mutants aren't phosphorylated,0.13046181356989006,1,16,1,1,MjAyNjA5MTMxMzA4NTdfMjMxMjk%3D
R-HSA-5358752,CTNNB1 T41 mutants aren't phosphorylated,0.13046181356989006,1,16,1,1,MjAyNjA5MTMxMzA4NTdfMjMxMjk%3D
R-HSA-5358751,CTNNB1 S45 mutants aren't phosphorylated,0.13046181356989006,1,16,1,1,MjAyNjA5MTMxMzA4NTdfMjMxMjk%3D
R-HSA-196299,Beta-catenin phosphorylation cascade,0.13046181356989006,1,19,4,4,MjAyNjA5MTMxMzA4NTdfMjMxMjk%3D
R-HSA-77595,Processing of Intronless Pre-mRNAs,0.13046181356989006,1,21,5,5,MjAyNjA5MTMxMzA4NTdfMjMxMjk%3D
R-HSA-9934037,Formation of neuronal progenitor and neuronal BAF (npBAF and nBAF),0.13046181356989006,1,25,2,2,MjAyNjA5MTMxMzA4NTdfMjMxMjk%3D
R-HSA-9843970,Regulation of endogenous retroelements by the Human Silencing Hub (HUSH) complex,0.13046181356989006,1,41,7,8,MjAyNjA5MTMxMzA4NTdfMjMxMjk%3D
R-HSA-3134973,LRR FLII-interacting protein 1 (LRRFIP1) activates type I IFN production,0.13046181356989006,1,7,4,5,MjAyNjA5MTMxMzA4NTdfMjMxMjk%3D
R-HSA-9762292,Regulation of CDH11 function,0.13046181356989006,1,13,8,10,MjAyNjA5MTMxMzA4NTdfMjMxMjk%3D
R-HSA-3769402,Deactivation of the beta-catenin transactivating complex,0.13046181356989006,1,46,11,14,MjAyNjA5MTMxMzA4NTdfMjMxMjk%3D
R-HSA-4791275,Signaling by WNT in cancer,0.13046181356989006,1,38,5,16,MjAyNjA5MTMxMzA4NTdfMjMxMjk%3D
R-HSA-9762293,Regulation of CDH11 gene transcription,0.13046181356989006,1,12,4,14,MjAyNjA5MTMxMzA4NTdfMjMxMjk%3D
R-HSA-4641262,Disassembly of the destruction complex and recruitment of AXIN to the membrane,0.13046181356989006,1,33,2,7,MjAyNjA5MTMxMzA4NTdfMjMxMjk%3D
R-HSA-9824272,Somitogenesis,0.13046181356989006,1,53,5,19,MjAyNjA5MTMxMzA4NTdfMjMxMjk%3D
R-HSA-8849469,PTK6 Regulates RTKs and Their Effectors AKT1 and DOK1,0.13046181356989006,1,11,2,8,MjAyNjA5MTMxMzA4NTdfMjMxMjk%3D
R-HSA-425986,Sodium/Proton exchangers,0.13046181356989006,1,11,1,4,MjAyNjA5MTMxMzA4NTdfMjMxMjk%3D
R-HSA-9796292,Formation of axial mesoderm,0.13046181356989006,1,17,1,4,MjAyNjA5MTMxMzA4NTdfMjMxMjk%3D
R-HSA-9958810,"SRC activates STAT3 in a quantitative manner, through Cadherin-11 (CDH11), RAC1 and gp130 (IL6ST)",0.13046181356989006,1,29,2,9,MjAyNjA5MTMxMzA4NTdfMjMxMjk%3D
R-HSA-9759476,Regulation of Homotypic Cell-Cell Adhesion,0.13046181356989006,2,215,27,125,MjAyNjA5MTMxMzA4NTdfMjMxMjk%3D
R-HSA-418990,Adherens junctions interactions,0.13046181356989006,3,267,34,164,MjAyNjA5MTMxMzA4NTdfMjMxMjk%3D
