stId,name,FDR,entities_found,entities_tot,reactions_found,reactions_tot,token
R-HSA-9839923,Dengue Virus Infection,6.307430133745129e-10,25,411,15,142,MjAyNjA5MTMxMzA0NTZfMjMwOTg%3D
R-HSA-9918481,Dengue Virus-Host Interactions,3.0534152983818785e-09,20,273,7,59,MjAyNjA5MTMxMzA0NTZfMjMwOTg%3D
R-HSA-8953854,Metabolism of RNA,8.414738572604108e-09,33,863,70,244,MjAyNjA5MTMxMzA0NTZfMjMwOTg%3D
R-HSA-156842,Eukaryotic Translation Elongation,1.3214731531263624e-08,13,102,8,9,MjAyNjA5MTMxMzA0NTZfMjMwOTg%3D
R-HSA-9824446,Viral Infection Pathways,1.4400018955029736e-08,42,1407,75,899,MjAyNjA5MTMxMzA0NTZfMjMwOTg%3D
R-HSA-72187,mRNA 3'-end processing,2.6405530428874613e-08,15,164,14,21,MjAyNjA5MTMxMzA0NTZfMjMwOTg%3D
R-HSA-9770562,mRNA Polyadenylation,2.7940618707589238e-08,14,139,13,20,MjAyNjA5MTMxMzA0NTZfMjMwOTg%3D
R-HSA-114608,Platelet degranulation ,3.2140146100090305e-08,14,142,4,11,MjAyNjA5MTMxMzA0NTZfMjMwOTg%3D
R-HSA-76005,Response to elevated platelet cytosolic Ca2+,5.2623984281297e-08,14,149,4,14,MjAyNjA5MTMxMzA0NTZfMjMwOTg%3D
R-HSA-72163,mRNA Splicing - Major Pathway,6.370036587100003e-08,16,213,11,11,MjAyNjA5MTMxMzA0NTZfMjMwOTg%3D
R-HSA-8953897,Cellular responses to stimuli,8.641360760286432e-08,36,1166,86,613,MjAyNjA5MTMxMzA0NTZfMjMwOTg%3D
R-HSA-72172,mRNA Splicing,1.078845209834256e-07,16,224,16,16,MjAyNjA5MTMxMzA0NTZfMjMwOTg%3D
R-HSA-5663205,Infectious disease,1.479485796096469e-07,48,1965,103,1227,MjAyNjA5MTMxMzA0NTZfMjMwOTg%3D
R-HSA-156902,Peptide chain elongation,4.0159044978338443e-07,11,97,5,5,MjAyNjA5MTMxMzA0NTZfMjMwOTg%3D
R-HSA-376176,Signaling by ROBO receptors,5.713307027477299e-07,15,222,9,60,MjAyNjA5MTMxMzA0NTZfMjMwOTg%3D
R-HSA-9675108,Nervous system development,5.713307027477299e-07,24,603,39,322,MjAyNjA5MTMxMzA0NTZfMjMwOTg%3D
R-HSA-1643685,Disease,1.2626117251723912e-06,61,3093,198,2176,MjAyNjA5MTMxMzA0NTZfMjMwOTg%3D
R-HSA-72203,Processing of Capped Intron-Containing Pre-mRNA,1.4216008379364098e-06,17,317,44,52,MjAyNjA5MTMxMzA0NTZfMjMwOTg%3D
R-HSA-2262752,Cellular responses to stress,2.050672481601623e-06,31,1039,67,521,MjAyNjA5MTMxMzA0NTZfMjMwOTg%3D
R-HSA-9692914,SARS-CoV-1-host interactions,3.333446401576623e-06,11,124,8,50,MjAyNjA5MTMxMzA0NTZfMjMwOTg%3D
R-HSA-9948299,Ribosome-associated quality control,3.364896225988012e-06,12,155,20,20,MjAyNjA5MTMxMzA0NTZfMjMwOTg%3D
R-HSA-9954714,PELO:HBS1L and ABCE1 dissociate a ribosome on a non-stop mRNA,4.057765312648343e-06,10,100,3,3,MjAyNjA5MTMxMzA0NTZfMjMwOTg%3D
R-HSA-975956,Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC),4.266880464953715e-06,10,101,1,1,MjAyNjA5MTMxMzA0NTZfMjMwOTg%3D
R-HSA-9954716,ZNF598 and the Ribosome-associated Quality Trigger (RQT) complex dissociate a ribosome stalled on a no-go mRNA,5.829906070564661e-06,10,105,4,4,MjAyNjA5MTMxMzA0NTZfMjMwOTg%3D
R-HSA-72764,Eukaryotic Translation Termination,5.941237072870642e-06,10,106,3,5,MjAyNjA5MTMxMzA0NTZfMjMwOTg%3D
R-HSA-72689,Formation of a pool of free 40S subunits,5.941237072870642e-06,10,106,2,2,MjAyNjA5MTMxMzA0NTZfMjMwOTg%3D
R-HSA-9010553,Regulation of expression of SLITs and ROBOs,6.946099753268875e-06,12,170,6,20,MjAyNjA5MTMxMzA0NTZfMjMwOTg%3D
R-HSA-9735869,SARS-CoV-1 modulates host translation machinery,8.65664885196793e-06,7,41,2,3,MjAyNjA5MTMxMzA0NTZfMjMwOTg%3D
R-HSA-2408557,Selenocysteine synthesis,8.65664885196793e-06,10,112,2,7,MjAyNjA5MTMxMzA0NTZfMjMwOTg%3D
R-HSA-422475,Axon guidance,8.867240215315597e-06,21,566,36,295,MjAyNjA5MTMxMzA0NTZfMjMwOTg%3D
