stId,name,FDR,entities_found,entities_tot,reactions_found,reactions_tot,token
R-HSA-9013418,RHOBTB2 GTPase cycle,0.00020863073243271302,5,24,2,2,MjAyNjA5MTMxMzA1NTFfMjMxMDM%3D
R-HSA-9706574,RHOBTB GTPase Cycle,0.0005674168675784408,5,36,3,4,MjAyNjA5MTMxMzA1NTFfMjMxMDM%3D
R-HSA-8953854,Metabolism of RNA,0.0005674168675784408,18,863,62,244,MjAyNjA5MTMxMzA1NTFfMjMxMDM%3D
R-HSA-69278,"Cell Cycle, Mitotic",0.0013759086858808889,14,587,53,367,MjAyNjA5MTMxMzA1NTFfMjMxMDM%3D
R-HSA-3371556,Cellular response to heat stress,0.0014935403097027233,7,135,24,29,MjAyNjA5MTMxMzA1NTFfMjMxMDM%3D
R-HSA-72203,Processing of Capped Intron-Containing Pre-mRNA,0.0014935403097027233,10,317,39,52,MjAyNjA5MTMxMzA1NTFfMjMxMDM%3D
R-HSA-5627123,RHO GTPases activate PAKs,0.0014935403097027233,4,27,11,15,MjAyNjA5MTMxMzA1NTFfMjMxMDM%3D
R-HSA-68875,Mitotic Prophase,0.0014935403097027233,7,134,8,34,MjAyNjA5MTMxMzA1NTFfMjMxMDM%3D
R-HSA-68886,M Phase,0.0015547554962083154,11,403,33,96,MjAyNjA5MTMxMzA1NTFfMjMxMDM%3D
R-HSA-1640170,Cell Cycle,0.0015547554962083154,15,729,68,474,MjAyNjA5MTMxMzA1NTFfMjMxMDM%3D
R-HSA-9918481,Dengue Virus-Host Interactions,0.0018508642986476698,9,273,5,59,MjAyNjA5MTMxMzA1NTFfMjMxMDM%3D
R-HSA-2980766,Nuclear Envelope Breakdown,0.002089419970418782,5,65,5,13,MjAyNjA5MTMxMzA1NTFfMjMxMDM%3D
R-HSA-194315,Signaling by Rho GTPases,0.0031842089587753586,14,708,38,203,MjAyNjA5MTMxMzA1NTFfMjMxMDM%3D
R-HSA-9716542,"Signaling by Rho GTPases, Miro GTPases and RHOBTB3",0.00339038065284214,14,724,38,212,MjAyNjA5MTMxMzA1NTFfMjMxMDM%3D
R-HSA-9920588,Dengue virus activates/modulates innate and adaptive immune responses,0.00339038065284214,4,40,4,23,MjAyNjA5MTMxMzA1NTFfMjMxMDM%3D
R-HSA-9930044,Nuclear RNA decay,0.00339038065284214,4,39,10,15,MjAyNjA5MTMxMzA1NTFfMjMxMDM%3D
R-HSA-180746,Nuclear import of Rev protein,0.003492517053137467,4,41,3,7,MjAyNjA5MTMxMzA1NTFfMjMxMDM%3D
R-HSA-165054,Rev-mediated nuclear export of HIV RNA,0.004479112688580034,4,45,3,10,MjAyNjA5MTMxMzA1NTFfMjMxMDM%3D
R-HSA-177243,Interactions of Rev with host cellular proteins,0.004890570873516964,4,47,5,16,MjAyNjA5MTMxMzA1NTFfMjMxMDM%3D
R-HSA-399954,Sema3A PAK dependent Axon repulsion,0.005208736972555528,3,19,5,6,MjAyNjA5MTMxMzA1NTFfMjMxMDM%3D
R-HSA-4570464,SUMOylation of RNA binding proteins,0.006125480313388332,4,51,1,4,MjAyNjA5MTMxMzA1NTFfMjMxMDM%3D
R-HSA-75153,Apoptotic execution phase,0.007264573289640142,4,54,7,57,MjAyNjA5MTMxMzA1NTFfMjMxMDM%3D
R-HSA-9012999,RHO GTPase cycle,0.008367618395459853,10,460,21,91,MjAyNjA5MTMxMzA1NTFfMjMxMDM%3D
