stId,name,FDR,entities_found,entities_tot,reactions_found,reactions_tot,token
R-HSA-5632968,Defective Mismatch Repair Associated With MSH6,0.05412039061283025,1,2,1,1,MjAyNjA5MTMxMzA4NDJfMjMxMjc%3D
R-HSA-112382,Formation of RNA Pol II elongation complex ,0.05412039061283025,2,60,1,2,MjAyNjA5MTMxMzA4NDJfMjMxMjc%3D
R-HSA-75955,RNA Polymerase II Transcription Elongation,0.05412039061283025,2,61,4,8,MjAyNjA5MTMxMzA4NDJfMjMxMjc%3D
R-HSA-9938024,Somatic hypermutation of immunoglobulin genes,0.05412039061283025,3,178,10,28,MjAyNjA5MTMxMzA4NDJfMjMxMjc%3D
R-HSA-8866654,E3 ubiquitin ligases ubiquitinate target proteins,0.05412039061283025,2,60,4,16,MjAyNjA5MTMxMzA4NDJfMjMxMjc%3D
R-HSA-9920588,Dengue virus activates/modulates innate and adaptive immune responses,0.05412039061283025,2,40,2,23,MjAyNjA5MTMxMzA4NDJfMjMxMjc%3D
R-HSA-5632928,Defective Mismatch Repair Associated With MSH2,0.05451968453161404,1,3,1,2,MjAyNjA5MTMxMzA4NDJfMjMxMjc%3D
R-HSA-6790901,rRNA modification in the nucleus and cytosol,0.05451968453161404,2,71,1,8,MjAyNjA5MTMxMzA4NDJfMjMxMjc%3D
R-HSA-674695,RNA Polymerase II Pre-transcription Events,0.05642071509887003,2,83,6,17,MjAyNjA5MTMxMzA4NDJfMjMxMjc%3D
R-HSA-5423599,Diseases of Mismatch Repair (MMR),0.05642071509887003,1,5,2,6,MjAyNjA5MTMxMzA4NDJfMjMxMjc%3D
R-HSA-8852135,Protein ubiquitination,0.05642071509887003,2,83,4,32,MjAyNjA5MTMxMzA4NDJfMjMxMjc%3D
R-HSA-9918481,Dengue Virus-Host Interactions,0.05642071509887003,3,273,3,59,MjAyNjA5MTMxMzA4NDJfMjMxMjc%3D
R-HSA-5625970,RHO GTPases activate KTN1,0.09503599233691096,1,12,2,2,MjAyNjA5MTMxMzA4NDJfMjMxMjc%3D
R-HSA-9770562,mRNA Polyadenylation,0.09503599233691096,2,139,13,20,MjAyNjA5MTMxMzA4NDJfMjMxMjc%3D
R-HSA-193634,Axonal growth inhibition (RHOA activation),0.09503599233691096,1,11,3,6,MjAyNjA5MTMxMzA4NDJfMjMxMjc%3D
R-HSA-193697,p75NTR regulates axonogenesis,0.09503599233691096,1,12,3,8,MjAyNjA5MTMxMzA4NDJfMjMxMjc%3D
R-HSA-9938027,Affinity selection of immunoglobulins,0.09503599233691096,3,406,10,40,MjAyNjA5MTMxMzA4NDJfMjMxMjc%3D
R-HSA-9938026,Immunoglobulin maturation,0.09503599233691096,3,406,10,40,MjAyNjA5MTMxMzA4NDJfMjMxMjc%3D
R-HSA-9839923,Dengue Virus Infection,0.0981398135706818,3,411,3,142,MjAyNjA5MTMxMzA4NDJfMjMxMjc%3D
R-HSA-5358565,Mismatch repair (MMR) directed by MSH2:MSH6 (MutSalpha),0.103154917630219,1,22,7,10,MjAyNjA5MTMxMzA4NDJfMjMxMjc%3D
R-HSA-72187,mRNA 3'-end processing,0.103154917630219,2,164,13,21,MjAyNjA5MTMxMzA4NDJfMjMxMjc%3D
R-HSA-6791226,Major pathway of rRNA processing in the nucleolus and cytosol,0.103154917630219,2,189,4,7,MjAyNjA5MTMxMzA4NDJfMjMxMjc%3D
R-HSA-5358508,Mismatch Repair,0.103154917630219,1,23,7,17,MjAyNjA5MTMxMzA4NDJfMjMxMjc%3D
R-HSA-8868773,rRNA processing in the nucleus and cytosol,0.103154917630219,2,207,5,15,MjAyNjA5MTMxMzA4NDJfMjMxMjc%3D
R-HSA-399997,Acetylcholine regulates insulin secretion,0.103154917630219,1,21,1,7,MjAyNjA5MTMxMzA4NDJfMjMxMjc%3D
R-HSA-8953854,Metabolism of RNA,0.103154917630219,4,863,29,244,MjAyNjA5MTMxMzA4NDJfMjMxMjc%3D
R-HSA-72163,mRNA Splicing - Major Pathway,0.10866620930529536,2,213,10,11,MjAyNjA5MTMxMzA4NDJfMjMxMjc%3D
R-HSA-9968295,Somatic hypermutation of immunoglobulin genes by error-prone mismatch repair (MMR),0.11256814329234843,1,27,8,8,MjAyNjA5MTMxMzA4NDJfMjMxMjc%3D
R-HSA-9938206,Developmental Lineage of Mammary Stem Cells,0.11288980832578366,1,28,1,1,MjAyNjA5MTMxMzA4NDJfMjMxMjc%3D
R-HSA-72172,mRNA Splicing,0.11288980832578366,2,224,10,16,MjAyNjA5MTMxMzA4NDJfMjMxMjc%3D
R-HSA-9927432,Developmental Lineage of Mammary Gland Myoepithelial Cells,0.11288980832578366,1,36,1,2,MjAyNjA5MTMxMzA4NDJfMjMxMjc%3D
R-HSA-72312,rRNA processing,0.11288980832578366,2,252,5,22,MjAyNjA5MTMxMzA4NDJfMjMxMjc%3D
