stId,name,FDR,entities_found,entities_tot,reactions_found,reactions_tot,token
R-HSA-2980766,Nuclear Envelope Breakdown,0.00045683630373360984,5,65,5,13,MjAyNjA5MTMxMzA4MTJfMjMxMjM%3D
R-HSA-68875,Mitotic Prophase,0.00045683630373360984,6,134,13,34,MjAyNjA5MTMxMzA4MTJfMjMxMjM%3D
R-HSA-68882,Mitotic Anaphase,0.00045683630373360984,7,236,9,32,MjAyNjA5MTMxMzA4MTJfMjMxMjM%3D
R-HSA-2555396,Mitotic Metaphase and Anaphase,0.00045683630373360984,7,237,9,33,MjAyNjA5MTMxMzA4MTJfMjMxMjM%3D
R-HSA-1640170,Cell Cycle,0.00045683630373360984,11,729,84,474,MjAyNjA5MTMxMzA4MTJfMjMxMjM%3D
R-HSA-2995410,Nuclear Envelope (NE) Reassembly,0.00045683630373360984,5,88,3,24,MjAyNjA5MTMxMzA4MTJfMjMxMjM%3D
R-HSA-68886,M Phase,0.0009428112994220861,8,403,32,96,MjAyNjA5MTMxMzA4MTJfMjMxMjM%3D
R-HSA-3108232,SUMO E3 ligases SUMOylate target proteins,0.0009428112994220861,6,184,18,132,MjAyNjA5MTMxMzA4MTJfMjMxMjM%3D
R-HSA-2990846,SUMOylation,0.0009428112994220861,6,193,18,141,MjAyNjA5MTMxMzA4MTJfMjMxMjM%3D
R-HSA-1221632,Meiotic synapsis,0.0011848229472111171,4,61,6,6,MjAyNjA5MTMxMzA4MTJfMjMxMjM%3D
R-HSA-4419969,Depolymerization of the Nuclear Lamina,0.001495945292852241,3,23,2,6,MjAyNjA5MTMxMzA4MTJfMjMxMjM%3D
R-HSA-2995383,Initiation of Nuclear Envelope (NE) Reformation,0.002175063324976745,3,27,1,7,MjAyNjA5MTMxMzA4MTJfMjMxMjM%3D
R-HSA-3108214,SUMOylation of DNA damage response and repair proteins,0.0027215171380690073,4,81,7,24,MjAyNjA5MTMxMzA4MTJfMjMxMjM%3D
