stId,name,FDR,entities_found,entities_tot,reactions_found,reactions_tot,token
R-HSA-112382,Formation of RNA Pol II elongation complex ,0.00608905104137436,5,60,2,2,MjAyNjA5MTMxMzA1NDRfMjMxMDI%3D
R-HSA-72203,Processing of Capped Intron-Containing Pre-mRNA,0.00608905104137436,10,317,35,52,MjAyNjA5MTMxMzA1NDRfMjMxMDI%3D
R-HSA-75955,RNA Polymerase II Transcription Elongation,0.00608905104137436,5,61,5,8,MjAyNjA5MTMxMzA1NDRfMjMxMDI%3D
R-HSA-4839726,Chromatin organization,0.00608905104137436,11,389,14,150,MjAyNjA5MTMxMzA1NDRfMjMxMDI%3D
R-HSA-674695,RNA Polymerase II Pre-transcription Events,0.020165937565792547,5,83,8,17,MjAyNjA5MTMxMzA1NDRfMjMxMDI%3D
R-HSA-9932444,ATP-dependent chromatin remodelers,0.02274490473604729,7,196,7,65,MjAyNjA5MTMxMzA1NDRfMjMxMDI%3D
R-HSA-72163,mRNA Splicing - Major Pathway,0.03215527183684985,7,213,10,11,MjAyNjA5MTMxMzA1NDRfMjMxMDI%3D
R-HSA-72172,mRNA Splicing,0.03757484227180585,7,224,10,16,MjAyNjA5MTMxMzA1NDRfMjMxMDI%3D
R-HSA-8953854,Metabolism of RNA,0.06266885789243615,14,863,59,244,MjAyNjA5MTMxMzA1NDRfMjMxMDI%3D
R-HSA-167287,HIV elongation arrest and recovery,0.06266885789243615,3,34,3,3,MjAyNjA5MTMxMzA1NDRfMjMxMDI%3D
R-HSA-167290,Pausing and recovery of HIV elongation,0.06266885789243615,3,34,2,2,MjAyNjA5MTMxMzA1NDRfMjMxMDI%3D
R-HSA-9918481,Dengue Virus-Host Interactions,0.07670010052603282,7,273,3,59,MjAyNjA5MTMxMzA1NDRfMjMxMDI%3D
R-HSA-159230,Transport of the SLBP Dependant Mature mRNA,0.07670010052603282,3,40,3,3,MjAyNjA5MTMxMzA1NDRfMjMxMDI%3D
R-HSA-8939243,RUNX1 interacts with co-factors whose precise effect on RUNX1 targets is not known,0.07670010052603282,3,39,2,5,MjAyNjA5MTMxMzA1NDRfMjMxMDI%3D
R-HSA-2173796,SMAD2/SMAD3:SMAD4 heterotrimer regulates transcription,0.08843224952097994,3,44,3,24,MjAyNjA5MTMxMzA1NDRfMjMxMDI%3D
R-HSA-167152,Formation of HIV elongation complex in the absence of HIV Tat,0.09212977217953,3,47,2,2,MjAyNjA5MTMxMzA1NDRfMjMxMDI%3D
R-HSA-159234,Transport of Mature mRNAs Derived from Intronless Transcripts,0.09212977217953,3,47,9,9,MjAyNjA5MTMxMzA1NDRfMjMxMDI%3D
R-HSA-162599,Late Phase of HIV Life Cycle,0.09755401555225085,5,161,18,78,MjAyNjA5MTMxMzA1NDRfMjMxMDI%3D
R-HSA-4570464,SUMOylation of RNA binding proteins,0.0977859543017987,3,51,2,4,MjAyNjA5MTMxMzA1NDRfMjMxMDI%3D
R-HSA-4615885,SUMOylation of DNA replication proteins,0.0977859543017987,3,50,2,8,MjAyNjA5MTMxMzA1NDRfMjMxMDI%3D
R-HSA-9937848,CHD chromatin remodelers,0.0977859543017987,5,165,2,44,MjAyNjA5MTMxMzA1NDRfMjMxMDI%3D
R-HSA-162587,HIV Life Cycle,0.11844475567521773,5,176,18,117,MjAyNjA5MTMxMzA1NDRfMjMxMDI%3D
R-HSA-9938024,Somatic hypermutation of immunoglobulin genes,0.11844475567521773,5,178,2,28,MjAyNjA5MTMxMzA1NDRfMjMxMDI%3D
R-HSA-1640170,Cell Cycle,0.13240354310713442,11,729,79,474,MjAyNjA5MTMxMzA1NDRfMjMxMDI%3D
R-HSA-9824446,Viral Infection Pathways,0.13240354310713442,17,1407,44,899,MjAyNjA5MTMxMzA1NDRfMjMxMDI%3D
R-HSA-2173793,Transcriptional activity of SMAD2/SMAD3:SMAD4 heterotrimer,0.13240354310713442,3,64,4,51,MjAyNjA5MTMxMzA1NDRfMjMxMDI%3D
R-HSA-4551638,SUMOylation of chromatin organization proteins,0.13240354310713442,3,62,4,15,MjAyNjA5MTMxMzA1NDRfMjMxMDI%3D
