stId,name,FDR,entities_found,entities_tot,reactions_found,reactions_tot,token
R-HSA-1643685,Disease,3.941291737419306e-14,74,3093,258,2176,MjAyNjA5MTMxMzA1MjlfMjMxMDA%3D
R-HSA-5663205,Infectious disease,3.941291737419306e-14,63,1965,130,1227,MjAyNjA5MTMxMzA1MjlfMjMxMDA%3D
R-HSA-9824446,Viral Infection Pathways,3.941291737419306e-14,56,1407,94,899,MjAyNjA5MTMxMzA1MjlfMjMxMDA%3D
R-HSA-9839923,Dengue Virus Infection,5.906386491005833e-14,28,411,23,142,MjAyNjA5MTMxMzA1MjlfMjMxMDA%3D
R-HSA-2262752,Cellular responses to stress,7.09432512735475e-14,42,1039,103,521,MjAyNjA5MTMxMzA1MjlfMjMxMDA%3D
R-HSA-8953897,Cellular responses to stimuli,1.1790568521519162e-13,44,1166,116,613,MjAyNjA5MTMxMzA1MjlfMjMxMDA%3D
R-HSA-156842,Eukaryotic Translation Elongation,6.750155989720952e-13,16,102,8,9,MjAyNjA5MTMxMzA1MjlfMjMxMDA%3D
R-HSA-392499,Metabolism of proteins,1.4913625889789728e-12,62,2427,259,928,MjAyNjA5MTMxMzA1MjlfMjMxMDA%3D
R-HSA-168255,Influenza Infection,9.275247236928408e-12,19,200,8,61,MjAyNjA5MTMxMzA1MjlfMjMxMDA%3D
R-HSA-156827,L13a-mediated translational silencing of Ceruloplasmin expression,6.902522997620508e-11,15,120,2,3,MjAyNjA5MTMxMzA1MjlfMjMxMDA%3D
R-HSA-72706,GTP hydrolysis and joining of the 60S ribosomal subunit,6.902522997620508e-11,15,120,3,3,MjAyNjA5MTMxMzA1MjlfMjMxMDA%3D
R-HSA-156902,Peptide chain elongation,6.902522997620508e-11,14,97,5,5,MjAyNjA5MTMxMzA1MjlfMjMxMDA%3D
R-HSA-8953854,Metabolism of RNA,6.902522997620508e-11,34,863,72,244,MjAyNjA5MTMxMzA1MjlfMjMxMDA%3D
R-HSA-72737,Cap-dependent Translation Initiation,1.6582801798392666e-10,15,130,14,18,MjAyNjA5MTMxMzA1MjlfMjMxMDA%3D
R-HSA-72613,Eukaryotic Translation Initiation,1.6582801798392666e-10,15,130,16,21,MjAyNjA5MTMxMzA1MjlfMjMxMDA%3D
R-HSA-72689,Formation of a pool of free 40S subunits,1.6582801798392666e-10,14,106,2,2,MjAyNjA5MTMxMzA1MjlfMjMxMDA%3D
R-HSA-9633012,Response of EIF2AK4 (GCN2) to amino acid deficiency,4.2743053541016707e-10,14,115,6,16,MjAyNjA5MTMxMzA1MjlfMjMxMDA%3D
R-HSA-9663891,Selective autophagy,7.29561078216534e-10,13,97,32,56,MjAyNjA5MTMxMzA1MjlfMjMxMDA%3D
R-HSA-9918481,Dengue Virus-Host Interactions,9.166774006530432e-10,19,273,10,59,MjAyNjA5MTMxMzA1MjlfMjMxMDA%3D
R-HSA-9954714,PELO:HBS1L and ABCE1 dissociate a ribosome on a non-stop mRNA,9.508073217645574e-10,13,100,3,3,MjAyNjA5MTMxMzA1MjlfMjMxMDA%3D
R-HSA-975956,Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC),1.0127676475235603e-09,13,101,1,1,MjAyNjA5MTMxMzA1MjlfMjMxMDA%3D
R-HSA-9954716,ZNF598 and the Ribosome-associated Quality Trigger (RQT) complex dissociate a ribosome stalled on a no-go mRNA,1.5604371128574712e-09,13,105,4,4,MjAyNjA5MTMxMzA1MjlfMjMxMDA%3D
R-HSA-72764,Eukaryotic Translation Termination,1.6781227518691821e-09,13,106,3,5,MjAyNjA5MTMxMzA1MjlfMjMxMDA%3D
R-HSA-2408557,Selenocysteine synthesis,3.130750325652798e-09,13,112,2,7,MjAyNjA5MTMxMzA1MjlfMjMxMDA%3D
R-HSA-192823,Viral mRNA Translation,3.7022365173555727e-09,13,114,2,2,MjAyNjA5MTMxMzA1MjlfMjMxMDA%3D
R-HSA-1799339,SRP-dependent cotranslational protein targeting to membrane,4.946378751036207e-09,13,117,5,5,MjAyNjA5MTMxMzA1MjlfMjMxMDA%3D
R-HSA-168273,Influenza Viral RNA Transcription and Replication,5.063254038262244e-09,15,173,4,14,MjAyNjA5MTMxMzA1MjlfMjMxMDA%3D
R-HSA-422475,Axon guidance,5.063254038262244e-09,25,566,21,295,MjAyNjA5MTMxMzA1MjlfMjMxMDA%3D
R-HSA-927802,Nonsense-Mediated Decay (NMD),8.5006385264208e-09,13,124,5,6,MjAyNjA5MTMxMzA1MjlfMjMxMDA%3D
R-HSA-975957,Nonsense Mediated Decay (NMD) enhanced by the Exon Junction Complex (EJC),8.5006385264208e-09,13,124,4,5,MjAyNjA5MTMxMzA1MjlfMjMxMDA%3D
R-HSA-9948299,Ribosome-associated quality control,1.1137220479184862e-08,14,155,20,20,MjAyNjA5MTMxMzA1MjlfMjMxMDA%3D
R-HSA-6791226,Major pathway of rRNA processing in the nucleolus and cytosol,1.4227048872328396e-08,15,189,7,7,MjAyNjA5MTMxMzA1MjlfMjMxMDA%3D
R-HSA-9675108,Nervous system development,1.5605074565883115e-08,25,603,21,322,MjAyNjA5MTMxMzA1MjlfMjMxMDA%3D
R-HSA-9954709,Ribosome Quality Control (RQC) complex extracts and degrades nascent peptide,1.6088176013617783e-08,12,106,13,13,MjAyNjA5MTMxMzA1MjlfMjMxMDA%3D
R-HSA-9646399,Aggrephagy,2.6847881029468113e-08,9,47,13,15,MjAyNjA5MTMxMzA1MjlfMjMxMDA%3D
R-HSA-5653656,Vesicle-mediated transport,2.6847881029468113e-08,29,833,115,254,MjAyNjA5MTMxMzA1MjlfMjMxMDA%3D
R-HSA-9612973,Autophagy,3.980124230196225e-08,14,174,49,117,MjAyNjA5MTMxMzA1MjlfMjMxMDA%3D
R-HSA-8868773,rRNA processing in the nucleus and cytosol,4.0955626889882524e-08,15,207,9,15,MjAyNjA5MTMxMzA1MjlfMjMxMDA%3D
R-HSA-9711097,Cellular response to starvation,4.4328528847614734e-08,14,176,6,28,MjAyNjA5MTMxMzA1MjlfMjMxMDA%3D
R-HSA-2408522,Selenoamino acid metabolism,6.507182637172093e-08,14,182,3,33,MjAyNjA5MTMxMzA1MjlfMjMxMDA%3D
R-HSA-1632852,Macroautophagy,1.1243958297768586e-07,13,158,32,96,MjAyNjA5MTMxMzA1MjlfMjMxMDA%3D
R-HSA-6798695,Neutrophil degranulation,1.2756555256565605e-07,21,478,6,10,MjAyNjA5MTMxMzA1MjlfMjMxMDA%3D
R-HSA-72766,Translation,2.2535623234176683e-07,20,448,61,126,MjAyNjA5MTMxMzA1MjlfMjMxMDA%3D
R-HSA-9770562,mRNA Polyadenylation,2.373150037593419e-07,12,139,16,20,MjAyNjA5MTMxMzA1MjlfMjMxMDA%3D
R-HSA-9010553,Regulation of expression of SLITs and ROBOs,2.373150037593419e-07,13,170,5,20,MjAyNjA5MTMxMzA1MjlfMjMxMDA%3D
R-HSA-9833482,PKR-mediated signaling,3.3240436625447956e-07,10,88,6,40,MjAyNjA5MTMxMzA1MjlfMjMxMDA%3D
R-HSA-9918487,Dengue Virus Genome Translation and Replication,3.7099694716324905e-07,11,116,11,64,MjAyNjA5MTMxMzA1MjlfMjMxMDA%3D
R-HSA-389960,Formation of tubulin folding intermediates by CCT/TriC,4.1072325740465487e-07,7,30,2,2,MjAyNjA5MTMxMzA1MjlfMjMxMDA%3D
R-HSA-72312,rRNA processing,4.1072325740465487e-07,15,252,9,22,MjAyNjA5MTMxMzA1MjlfMjMxMDA%3D
R-HSA-376176,Signaling by ROBO receptors,6.171480496641735e-07,14,222,6,60,MjAyNjA5MTMxMzA1MjlfMjMxMDA%3D
R-HSA-194315,Signaling by Rho GTPases,1.0397919147919765e-06,24,708,44,203,MjAyNjA5MTMxMzA1MjlfMjMxMDA%3D
