stId,name,FDR,entities_found,entities_tot,reactions_found,reactions_tot,token
R-HSA-72187,mRNA 3'-end processing,0.11758205997457405,4,164,15,21,MjAyNjA5MTMxMzA4NDlfMjMxMjg%3D
R-HSA-5619054,"Defective SLC4A4 causes renal tubular acidosis, proximal, with ocular abnormalities and mental retardation (pRTA-OA)",0.19574936146332123,1,3,1,1,MjAyNjA5MTMxMzA4NDlfMjMxMjg%3D
R-HSA-9770562,mRNA Polyadenylation,0.19574936146332123,3,139,14,20,MjAyNjA5MTMxMzA4NDlfMjMxMjg%3D
R-HSA-72203,Processing of Capped Intron-Containing Pre-mRNA,0.19574936146332123,4,317,30,52,MjAyNjA5MTMxMzA4NDlfMjMxMjg%3D
R-HSA-9734779,Developmental Cell Lineages of the Integumentary System,0.19574936146332123,3,122,6,12,MjAyNjA5MTMxMzA4NDlfMjMxMjg%3D
R-HSA-9725554,Differentiation of Keratinocytes in Interfollicular Epidermis in Mammalian Skin,0.19574936146332123,2,47,1,4,MjAyNjA5MTMxMzA4NDlfMjMxMjg%3D
R-HSA-9816359,Maternal to zygotic transition (MZT),0.19574936146332123,3,137,7,46,MjAyNjA5MTMxMzA4NDlfMjMxMjg%3D
R-HSA-8951671,RUNX3 regulates YAP1-mediated transcription,0.19594545244064698,1,9,3,3,MjAyNjA5MTMxMzA4NDlfMjMxMjg%3D
R-HSA-9925563,Developmental Lineage of Pancreatic Ductal Cells,0.19594545244064698,2,77,2,2,MjAyNjA5MTMxMzA4NDlfMjMxMjg%3D
R-HSA-9927426,Developmental Lineage of Mammary Gland Alveolar Cells,0.19594545244064698,1,41,2,2,MjAyNjA5MTMxMzA4NDlfMjMxMjg%3D
R-HSA-9927418,Developmental Lineage of Mammary Gland Luminal Epithelial Cells,0.19594545244064698,1,50,3,3,MjAyNjA5MTMxMzA4NDlfMjMxMjg%3D
R-HSA-5250924,B-WICH complex positively regulates rRNA expression,0.19594545244064698,1,61,3,3,MjAyNjA5MTMxMzA4NDlfMjMxMjg%3D
R-HSA-159236,Transport of Mature mRNA derived from an Intron-Containing Transcript,0.19594545244064698,1,81,4,4,MjAyNjA5MTMxMzA4NDlfMjMxMjg%3D
R-HSA-9843743,Transcriptional regulation of brown and beige adipocyte differentiation,0.19594545244064698,1,47,13,14,MjAyNjA5MTMxMzA4NDlfMjMxMjg%3D
R-HSA-9844594,Transcriptional regulation of brown and beige adipocyte differentiation by EBF2,0.19594545244064698,1,47,13,14,MjAyNjA5MTMxMzA4NDlfMjMxMjg%3D
R-HSA-72163,mRNA Splicing - Major Pathway,0.19594545244064698,3,213,10,11,MjAyNjA5MTMxMzA4NDlfMjMxMjg%3D
R-HSA-446107,Type I hemidesmosome assembly,0.19594545244064698,1,11,5,6,MjAyNjA5MTMxMzA4NDlfMjMxMjg%3D
R-HSA-9796292,Formation of axial mesoderm,0.19594545244064698,1,17,3,4,MjAyNjA5MTMxMzA4NDlfMjMxMjg%3D
R-HSA-9619483,Activation of AMPK downstream of NMDARs,0.19594545244064698,1,34,2,3,MjAyNjA5MTMxMzA4NDlfMjMxMjg%3D
R-HSA-72172,mRNA Splicing,0.19594545244064698,3,224,10,16,MjAyNjA5MTMxMzA4NDlfMjMxMjg%3D
R-HSA-9924644,Developmental Lineages of the Mammary Gland,0.19594545244064698,1,81,5,8,MjAyNjA5MTMxMzA4NDlfMjMxMjg%3D
R-HSA-9820841,M-decay: degradation of maternal mRNAs by maternally stored factors,0.19594545244064698,1,48,4,7,MjAyNjA5MTMxMzA4NDlfMjMxMjg%3D
R-HSA-2032785,YAP1- and WWTR1 (TAZ)-stimulated gene expression,0.19594545244064698,1,18,5,9,MjAyNjA5MTMxMzA4NDlfMjMxMjg%3D
R-HSA-73980,RNA Polymerase III Transcription Termination,0.19594545244064698,1,23,1,2,MjAyNjA5MTMxMzA4NDlfMjMxMjg%3D
R-HSA-9013422,RHOBTB1 GTPase cycle,0.19594545244064698,1,24,1,2,MjAyNjA5MTMxMzA4NDlfMjMxMjg%3D
R-HSA-9013418,RHOBTB2 GTPase cycle,0.19594545244064698,1,24,1,2,MjAyNjA5MTMxMzA4NDlfMjMxMjg%3D
R-HSA-9706574,RHOBTB GTPase Cycle,0.19594545244064698,1,36,2,4,MjAyNjA5MTMxMzA4NDlfMjMxMjg%3D
R-HSA-390471,Association of TriC/CCT with target proteins during biosynthesis,0.19594545244064698,1,40,1,2,MjAyNjA5MTMxMzA4NDlfMjMxMjg%3D
R-HSA-9981148,Developmental Lineage of Pancreatic Endocrine Mid Progenitor Cells,0.19594545244064698,1,45,1,2,MjAyNjA5MTMxMzA4NDlfMjMxMjg%3D
R-HSA-5250913,Positive epigenetic regulation of rRNA expression,0.19594545244064698,1,79,3,7,MjAyNjA5MTMxMzA4NDlfMjMxMjg%3D
R-HSA-6791226,Major pathway of rRNA processing in the nucleolus and cytosol,0.19594545244064698,2,189,3,7,MjAyNjA5MTMxMzA4NDlfMjMxMjg%3D
R-HSA-1650814,Collagen biosynthesis and modifying enzymes,0.19594545244064698,1,76,19,51,MjAyNjA5MTMxMzA4NDlfMjMxMjg%3D
R-HSA-5689603,UCH proteinases,0.19594545244064698,1,84,4,11,MjAyNjA5MTMxMzA4NDlfMjMxMjg%3D
R-HSA-9734767,Developmental Cell Lineages,0.19594545244064698,4,340,9,26,MjAyNjA5MTMxMzA4NDlfMjMxMjg%3D
R-HSA-8964046,VLDL clearance,0.19594545244064698,1,10,1,3,MjAyNjA5MTMxMzA4NDlfMjMxMjg%3D
R-HSA-420029,Tight junction interactions,0.19594545244064698,1,31,1,3,MjAyNjA5MTMxMzA4NDlfMjMxMjg%3D
R-HSA-9035034,RHOF GTPase cycle,0.19594545244064698,1,46,1,3,MjAyNjA5MTMxMzA4NDlfMjMxMjg%3D
R-HSA-8939236,RUNX1 regulates transcription of genes involved in differentiation of HSCs,0.19594545244064698,1,92,5,15,MjAyNjA5MTMxMzA4NDlfMjMxMjg%3D
