stId,name,FDR,entities_found,entities_tot,reactions_found,reactions_tot,token
R-HSA-72163,mRNA Splicing - Major Pathway,0.0012527595478084574,9,213,11,11,MjAyNjA5MTMxMzA2MTRfMjMxMDY%3D
R-HSA-72172,mRNA Splicing,0.0012527595478084574,9,224,16,16,MjAyNjA5MTMxMzA2MTRfMjMxMDY%3D
R-HSA-9770562,mRNA Polyadenylation,0.0017007320006008353,7,139,13,20,MjAyNjA5MTMxMzA2MTRfMjMxMDY%3D
R-HSA-72203,Processing of Capped Intron-Containing Pre-mRNA,0.0017007320006008353,10,317,33,52,MjAyNjA5MTMxMzA2MTRfMjMxMDY%3D
R-HSA-8953854,Metabolism of RNA,0.0017007320006008353,16,863,45,244,MjAyNjA5MTMxMzA2MTRfMjMxMDY%3D
R-HSA-9918481,Dengue Virus-Host Interactions,0.0017007320006008353,9,273,5,59,MjAyNjA5MTMxMzA2MTRfMjMxMDY%3D
R-HSA-9839923,Dengue Virus Infection,0.0017007320006008353,11,411,8,142,MjAyNjA5MTMxMzA2MTRfMjMxMDY%3D
R-HSA-9006821,Alternative Lengthening of Telomeres (ALT),0.002469174726660084,2,2,2,2,MjAyNjA5MTMxMzA2MTRfMjMxMDY%3D
R-HSA-9670621,Defective Inhibition of DNA Recombination at Telomere,0.002469174726660084,2,2,2,2,MjAyNjA5MTMxMzA2MTRfMjMxMDY%3D
R-HSA-9673013,Diseases of Telomere Maintenance,0.002469174726660084,2,2,2,2,MjAyNjA5MTMxMzA2MTRfMjMxMDY%3D
R-HSA-9670613,Defective Inhibition of DNA Recombination at Telomere Due to DAXX Mutations,0.002469174726660084,2,2,1,1,MjAyNjA5MTMxMzA2MTRfMjMxMDY%3D
R-HSA-9670615,Defective Inhibition of DNA Recombination at Telomere Due to ATRX Mutations,0.002469174726660084,2,2,1,1,MjAyNjA5MTMxMzA2MTRfMjMxMDY%3D
R-HSA-72187,mRNA 3'-end processing,0.002469174726660084,7,164,14,21,MjAyNjA5MTMxMzA2MTRfMjMxMDY%3D
R-HSA-111465,Apoptotic cleavage of cellular proteins,0.002472422328484214,4,38,6,38,MjAyNjA5MTMxMzA2MTRfMjMxMDY%3D
R-HSA-75153,Apoptotic execution phase,0.008929763813815939,4,54,6,57,MjAyNjA5MTMxMzA2MTRfMjMxMDY%3D
R-HSA-3247509,Chromatin modifying enzymes,0.09696948241255499,6,254,17,85,MjAyNjA5MTMxMzA2MTRfMjMxMDY%3D
R-HSA-212165,Epigenetic regulation of gene expression,0.09696948241255499,7,345,20,118,MjAyNjA5MTMxMzA2MTRfMjMxMDY%3D
R-HSA-198323,AKT phosphorylates targets in the cytosol,0.10995126196783445,2,16,2,9,MjAyNjA5MTMxMzA2MTRfMjMxMDY%3D
R-HSA-194315,Signaling by Rho GTPases,0.16110943459939597,10,708,36,203,MjAyNjA5MTMxMzA2MTRfMjMxMDY%3D
R-HSA-4839726,Chromatin organization,0.16110943459939597,7,389,18,150,MjAyNjA5MTMxMzA2MTRfMjMxMDY%3D
