stId,name,FDR,entities_found,entities_tot,reactions_found,reactions_tot,token
R-HSA-2173782,Binding and Uptake of Ligands by Scavenger Receptors,3.595310271720109e-09,11,172,12,35,MjAyNjA5MTMxMzA2NThfMjMxMTI%3D
R-HSA-109582,Hemostasis,3.595310271720109e-09,19,821,52,366,MjAyNjA5MTMxMzA2NThfMjMxMTI%3D
R-HSA-216083,Integrin cell surface interactions,9.904043751784997e-08,8,86,7,55,MjAyNjA5MTMxMzA2NThfMjMxMTI%3D
R-HSA-5653656,Vesicle-mediated transport,1.4916866108993787e-07,17,833,55,254,MjAyNjA5MTMxMzA2NThfMjMxMTI%3D
R-HSA-1474244,Extracellular matrix organization,1.8874421026104926e-07,12,351,74,330,MjAyNjA5MTMxMzA2NThfMjMxMTI%3D
R-HSA-1650814,Collagen biosynthesis and modifying enzymes,6.688733598103624e-07,7,76,26,51,MjAyNjA5MTMxMzA2NThfMjMxMTI%3D
R-HSA-8948216,Collagen chain trimerization,7.134954438381413e-07,6,44,4,28,MjAyNjA5MTMxMzA2NThfMjMxMTI%3D
R-HSA-3000171,Non-integrin membrane-ECM interactions,9.054126346441649e-07,7,83,5,33,MjAyNjA5MTMxMzA2NThfMjMxMTI%3D
R-HSA-1474290,Collagen formation,3.340421327213683e-06,7,104,42,77,MjAyNjA5MTMxMzA2NThfMjMxMTI%3D
R-HSA-1280218,Adaptive Immune System,3.340421327213683e-06,18,1237,34,361,MjAyNjA5MTMxMzA2NThfMjMxMTI%3D
R-HSA-2022090,Assembly of collagen fibrils and other multimeric structures,5.387959678415655e-06,6,67,16,26,MjAyNjA5MTMxMzA2NThfMjMxMTI%3D
R-HSA-1442490,Collagen degradation,5.826352612592345e-06,6,69,11,34,MjAyNjA5MTMxMzA2NThfMjMxMTI%3D
R-HSA-3000178,ECM proteoglycans,1.1018971575738057e-05,6,79,8,23,MjAyNjA5MTMxMzA2NThfMjMxMTI%3D
R-HSA-168256,Immune System,1.1018971575738057e-05,27,3033,119,1895,MjAyNjA5MTMxMzA2NThfMjMxMTI%3D
R-HSA-114608,Platelet degranulation ,1.8038017293831032e-05,7,142,4,11,MjAyNjA5MTMxMzA2NThfMjMxMTI%3D
R-HSA-9646399,Aggrephagy,1.8096843760084802e-05,5,47,6,15,MjAyNjA5MTMxMzA2NThfMjMxMTI%3D
R-HSA-76002,"Platelet activation, signaling and aggregation",1.8096843760084802e-05,9,294,32,119,MjAyNjA5MTMxMzA2NThfMjMxMTI%3D
R-HSA-3000480,Scavenging by Class A Receptors,1.9881292343537638e-05,5,49,3,10,MjAyNjA5MTMxMzA2NThfMjMxMTI%3D
R-HSA-76005,Response to elevated platelet cytosolic Ca2+,1.9881292343537638e-05,7,149,4,14,MjAyNjA5MTMxMzA2NThfMjMxMTI%3D
R-HSA-1566977,Fibronectin matrix formation,2.078882233291779e-05,4,21,1,4,MjAyNjA5MTMxMzA2NThfMjMxMTI%3D
