stId,name,FDR,entities_found,entities_tot,reactions_found,reactions_tot,token
R-HSA-444257,RSK activation,0.14185556387516396,1,11,4,4,MjAyNjA5MTMxMzA5MzNfMjMxMzQ%3D
R-HSA-9820865,Z-decay: degradation of maternal mRNAs by zygotically expressed factors,0.14185556387516396,1,16,4,4,MjAyNjA5MTMxMzA5MzNfMjMxMzQ%3D
R-HSA-9933947,Formation of the non-canonical BAF (ncBAF) complex,0.14185556387516396,1,17,2,2,MjAyNjA5MTMxMzA5MzNfMjMxMzQ%3D
R-HSA-9933939,Formation of the polybromo-BAF (pBAF) complex,0.14185556387516396,1,18,6,6,MjAyNjA5MTMxMzA5MzNfMjMxMzQ%3D
R-HSA-9933937,Formation of the canonical BAF (cBAF) complex,0.14185556387516396,1,18,5,5,MjAyNjA5MTMxMzA5MzNfMjMxMzQ%3D
R-HSA-9933946,Formation of the embryonic stem cell BAF (esBAF) complex,0.14185556387516396,1,19,5,5,MjAyNjA5MTMxMzA5MzNfMjMxMzQ%3D
R-HSA-9934037,Formation of neuronal progenitor and neuronal BAF (npBAF and nBAF),0.14185556387516396,1,25,2,2,MjAyNjA5MTMxMzA5MzNfMjMxMzQ%3D
R-HSA-437239,Recycling pathway of L1,0.14185556387516396,2,55,14,14,MjAyNjA5MTMxMzA5MzNfMjMxMzQ%3D
R-HSA-429947,Deadenylation of mRNA,0.14185556387516396,1,30,4,4,MjAyNjA5MTMxMzA5MzNfMjMxMzQ%3D
R-HSA-9932451,SWI/SNF chromatin remodelers,0.14185556387516396,1,32,21,21,MjAyNjA5MTMxMzA5MzNfMjMxMzQ%3D
R-HSA-72649,Translation initiation complex formation,0.14185556387516396,1,62,2,2,MjAyNjA5MTMxMzA5MzNfMjMxMzQ%3D
R-HSA-72702,Ribosomal scanning and start codon recognition,0.14185556387516396,1,64,2,2,MjAyNjA5MTMxMzA5MzNfMjMxMzQ%3D
R-HSA-9845323,Regulation of endogenous retroelements by Piwi-interacting RNAs (piRNAs),0.14185556387516396,1,68,2,2,MjAyNjA5MTMxMzA5MzNfMjMxMzQ%3D
R-HSA-445095,Interaction between L1 and Ankyrins,0.14185556387516396,1,33,3,4,MjAyNjA5MTMxMzA5MzNfMjMxMzQ%3D
R-HSA-442742,CREB1 phosphorylation through NMDA receptor-mediated activation of RAS signaling,0.14185556387516396,1,39,5,7,MjAyNjA5MTMxMzA5MzNfMjMxMzQ%3D
R-HSA-373760,L1CAM interactions,0.14185556387516396,2,130,31,54,MjAyNjA5MTMxMzA5MzNfMjMxMzQ%3D
R-HSA-445144,Signal transduction by L1,0.14185556387516396,1,25,6,11,MjAyNjA5MTMxMzA5MzNfMjMxMzQ%3D
R-HSA-209560,NF-kB is activated and signals survival,0.14185556387516396,1,15,2,4,MjAyNjA5MTMxMzA5MzNfMjMxMzQ%3D
R-HSA-73980,RNA Polymerase III Transcription Termination,0.14185556387516396,1,23,1,2,MjAyNjA5MTMxMzA5MzNfMjMxMzQ%3D
R-HSA-5610780,Degradation of GLI1 by the proteasome,0.14185556387516396,1,49,3,6,MjAyNjA5MTMxMzA5MzNfMjMxMzQ%3D
R-HSA-112382,Formation of RNA Pol II elongation complex ,0.14185556387516396,1,60,1,2,MjAyNjA5MTMxMzA5MzNfMjMxMzQ%3D
R-HSA-75955,RNA Polymerase II Transcription Elongation,0.14185556387516396,1,61,4,8,MjAyNjA5MTMxMzA5MzNfMjMxMzQ%3D
R-HSA-72662,"Activation of the mRNA upon binding of the cap-binding complex and eIFs, and subsequent binding to 43S",0.14185556387516396,1,66,3,6,MjAyNjA5MTMxMzA5MzNfMjMxMzQ%3D
R-HSA-193639,p75NTR signals via NF-kB,0.14185556387516396,1,19,6,13,MjAyNjA5MTMxMzA5MzNfMjMxMzQ%3D
R-HSA-209543,p75NTR recruits signalling complexes,0.14185556387516396,1,16,4,9,MjAyNjA5MTMxMzA5MzNfMjMxMzQ%3D
R-HSA-1253288,Downregulation of ERBB4 signaling,0.14185556387516396,1,11,2,5,MjAyNjA5MTMxMzA5MzNfMjMxMzQ%3D
R-HSA-429914,Deadenylation-dependent mRNA decay,0.14185556387516396,1,67,4,10,MjAyNjA5MTMxMzA5MzNfMjMxMzQ%3D
R-HSA-166208,mTORC1-mediated signalling,0.14185556387516396,2,28,3,8,MjAyNjA5MTMxMzA5MzNfMjMxMzQ%3D
R-HSA-9932444,ATP-dependent chromatin remodelers,0.14185556387516396,3,196,23,65,MjAyNjA5MTMxMzA5MzNfMjMxMzQ%3D
R-HSA-8856828,Clathrin-mediated endocytosis,0.14185556387516396,2,161,12,35,MjAyNjA5MTMxMzA5MzNfMjMxMzQ%3D
R-HSA-165159,MTOR signalling,0.14185556387516396,2,64,11,33,MjAyNjA5MTMxMzA5MzNfMjMxMzQ%3D
R-HSA-9646399,Aggrephagy,0.14185556387516396,1,47,5,15,MjAyNjA5MTMxMzA5MzNfMjMxMzQ%3D
R-HSA-9664873,Pexophagy,0.14185556387516396,1,13,4,13,MjAyNjA5MTMxMzA5MzNfMjMxMzQ%3D
R-HSA-205043,NRIF signals cell death from the nucleus,0.14185556387516396,1,18,2,7,MjAyNjA5MTMxMzA5MzNfMjMxMzQ%3D
