stId,name,FDR,entities_found,entities_tot,reactions_found,reactions_tot,token
R-HSA-180910,Vpr-mediated nuclear import of PICs,0.0009996313824770509,4,44,2,2,MjAyNjA5MTMxMzA3NTBfMjMxMjA%3D
R-HSA-264870,Caspase-mediated cleavage of cytoskeletal proteins,0.0009996313824770509,3,12,5,10,MjAyNjA5MTMxMzA3NTBfMjMxMjA%3D
R-HSA-176033,Interactions of Vpr with host cellular proteins,0.0009996313824770509,4,47,2,4,MjAyNjA5MTMxMzA3NTBfMjMxMjA%3D
R-HSA-111465,Apoptotic cleavage of cellular proteins,0.0009996313824770509,4,38,6,38,MjAyNjA5MTMxMzA3NTBfMjMxMjA%3D
R-HSA-4615885,SUMOylation of DNA replication proteins,0.0010136735401639063,4,50,3,8,MjAyNjA5MTMxMzA3NTBfMjMxMjA%3D
R-HSA-75153,Apoptotic execution phase,0.001143045817155075,4,54,6,57,MjAyNjA5MTMxMzA3NTBfMjMxMjA%3D
R-HSA-72203,Processing of Capped Intron-Containing Pre-mRNA,0.002005754680096561,7,317,35,52,MjAyNjA5MTMxMzA3NTBfMjMxMjA%3D
R-HSA-3371453,Regulation of HSF1-mediated heat shock response,0.00409703790532534,4,113,3,14,MjAyNjA5MTMxMzA3NTBfMjMxMjA%3D
R-HSA-8953854,Metabolism of RNA,0.00409703790532534,10,863,46,244,MjAyNjA5MTMxMzA3NTBfMjMxMjA%3D
R-HSA-168276,NS1 Mediated Effects on Host Pathways,0.00409703790532534,3,48,1,8,MjAyNjA5MTMxMzA3NTBfMjMxMjA%3D
R-HSA-3108232,SUMO E3 ligases SUMOylate target proteins,0.00409703790532534,5,184,15,132,MjAyNjA5MTMxMzA3NTBfMjMxMjA%3D
R-HSA-2990846,SUMOylation,0.00409703790532534,5,193,15,141,MjAyNjA5MTMxMzA3NTBfMjMxMjA%3D
R-HSA-168271,Transport of Ribonucleoproteins into the Host Nucleus,0.00409703790532534,3,48,1,4,MjAyNjA5MTMxMzA3NTBfMjMxMjA%3D
R-HSA-177243,Interactions of Rev with host cellular proteins,0.00409703790532534,3,47,4,16,MjAyNjA5MTMxMzA3NTBfMjMxMjA%3D
R-HSA-170822,Regulation of Glucokinase by Glucokinase Regulatory Protein,0.00409703790532534,3,40,1,5,MjAyNjA5MTMxMzA3NTBfMjMxMjA%3D
R-HSA-165054,Rev-mediated nuclear export of HIV RNA,0.00409703790532534,3,45,2,10,MjAyNjA5MTMxMzA3NTBfMjMxMjA%3D
R-HSA-159231,Transport of Mature mRNA Derived from an Intronless Transcript,0.00409703790532534,3,46,3,3,MjAyNjA5MTMxMzA3NTBfMjMxMjA%3D
R-HSA-5619107,Defective TPR may confer susceptibility towards thyroid papillary carcinoma (TPC),0.00409703790532534,3,36,1,1,MjAyNjA5MTMxMzA3NTBfMjMxMjA%3D
R-HSA-1855196,IP3 and IP4 transport between cytosol and nucleus,0.00409703790532534,3,37,3,3,MjAyNjA5MTMxMzA3NTBfMjMxMjA%3D
R-HSA-1855229,IP6 and IP7 transport between cytosol and nucleus,0.00409703790532534,3,37,2,2,MjAyNjA5MTMxMzA3NTBfMjMxMjA%3D
R-HSA-159227,Transport of the SLBP independent Mature mRNA,0.00409703790532534,3,39,3,3,MjAyNjA5MTMxMzA3NTBfMjMxMjA%3D
R-HSA-1855170,IPs transport between nucleus and cytosol,0.00409703790532534,3,40,4,4,MjAyNjA5MTMxMzA3NTBfMjMxMjA%3D
R-HSA-159230,Transport of the SLBP Dependant Mature mRNA,0.00409703790532534,3,40,3,3,MjAyNjA5MTMxMzA3NTBfMjMxMjA%3D
R-HSA-3301854,Nuclear Pore Complex (NPC) Disassembly,0.00409703790532534,3,42,2,2,MjAyNjA5MTMxMzA3NTBfMjMxMjA%3D
R-HSA-180746,Nuclear import of Rev protein,0.00409703790532534,3,41,2,7,MjAyNjA5MTMxMzA3NTBfMjMxMjA%3D
R-HSA-159234,Transport of Mature mRNAs Derived from Intronless Transcripts,0.00409703790532534,3,47,9,9,MjAyNjA5MTMxMzA3NTBfMjMxMjA%3D
R-HSA-4085377,SUMOylation of SUMOylation proteins,0.00409703790532534,3,39,2,5,MjAyNjA5MTMxMzA3NTBfMjMxMjA%3D
R-HSA-3232142,SUMOylation of ubiquitinylation proteins,0.00409703790532534,3,43,1,3,MjAyNjA5MTMxMzA3NTBfMjMxMjA%3D
R-HSA-168333,NEP/NS2 Interacts with the Cellular Export Machinery,0.004849919328278496,3,53,1,2,MjAyNjA5MTMxMzA3NTBfMjMxMjA%3D
R-HSA-4570464,SUMOylation of RNA binding proteins,0.004849919328278496,3,51,1,4,MjAyNjA5MTMxMzA3NTBfMjMxMjA%3D
R-HSA-168274,Export of Viral Ribonucleoproteins from Nucleus,0.005118598929061413,3,54,1,5,MjAyNjA5MTMxMzA3NTBfMjMxMjA%3D
R-HSA-5357801,Programmed Cell Death,0.005135921309036284,5,225,8,194,MjAyNjA5MTMxMzA3NTBfMjMxMjA%3D
R-HSA-162909,Host Interactions of HIV factors,0.006139090094405497,4,138,7,54,MjAyNjA5MTMxMzA3NTBfMjMxMjA%3D
R-HSA-3371556,Cellular response to heat stress,0.006139090094405497,4,135,3,29,MjAyNjA5MTMxMzA3NTBfMjMxMjA%3D
R-HSA-4551638,SUMOylation of chromatin organization proteins,0.006662844842028726,3,62,2,15,MjAyNjA5MTMxMzA3NTBfMjMxMjA%3D
R-HSA-2980766,Nuclear Envelope Breakdown,0.007628098856273802,3,65,2,13,MjAyNjA5MTMxMzA3NTBfMjMxMjA%3D
R-HSA-194441,Metabolism of non-coding RNA,0.007754138472383598,3,67,2,6,MjAyNjA5MTMxMzA3NTBfMjMxMjA%3D
R-HSA-191859,snRNP Assembly,0.007754138472383598,3,67,2,6,MjAyNjA5MTMxMzA3NTBfMjMxMjA%3D
R-HSA-168325,Viral Messenger RNA Synthesis,0.007754138472383598,3,69,2,6,MjAyNjA5MTMxMzA3NTBfMjMxMjA%3D
R-HSA-6784531,tRNA processing in the nucleus,0.008078762628014768,3,70,1,7,MjAyNjA5MTMxMzA3NTBfMjMxMjA%3D
R-HSA-159236,Transport of Mature mRNA derived from an Intron-Containing Transcript,0.01222421843763466,3,81,3,4,MjAyNjA5MTMxMzA3NTBfMjMxMjA%3D
R-HSA-3108214,SUMOylation of DNA damage response and repair proteins,0.01222421843763466,3,81,4,24,MjAyNjA5MTMxMzA3NTBfMjMxMjA%3D
R-HSA-162587,HIV Life Cycle,0.012782163501626975,4,176,12,117,MjAyNjA5MTMxMzA3NTBfMjMxMjA%3D
R-HSA-1169408,ISG15 antiviral mechanism,0.013095788280580667,3,83,1,16,MjAyNjA5MTMxMzA3NTBfMjMxMjA%3D
R-HSA-72202,Transport of Mature Transcript to Cytoplasm,0.013705862377050848,3,90,12,13,MjAyNjA5MTMxMzA3NTBfMjMxMjA%3D
R-HSA-109581,Apoptosis,0.013705862377050848,4,180,6,142,MjAyNjA5MTMxMzA3NTBfMjMxMjA%3D
R-HSA-72163,mRNA Splicing - Major Pathway,0.021030758154119145,4,213,10,11,MjAyNjA5MTMxMzA3NTBfMjMxMjA%3D
R-HSA-70171,Glycolysis,0.024579045525210397,3,111,1,23,MjAyNjA5MTMxMzA3NTBfMjMxMjA%3D
R-HSA-72172,mRNA Splicing,0.02509747689058872,4,224,10,16,MjAyNjA5MTMxMzA3NTBfMjMxMjA%3D
R-HSA-1483249,Inositol phosphate metabolism,0.03406399030514873,3,125,9,71,MjAyNjA5MTMxMzA3NTBfMjMxMjA%3D
R-HSA-162906,HIV Infection,0.035737720449540156,4,248,17,160,MjAyNjA5MTMxMzA3NTBfMjMxMjA%3D
R-HSA-70326,Glucose metabolism,0.03870801732868023,3,131,1,40,MjAyNjA5MTMxMzA3NTBfMjMxMjA%3D
R-HSA-68875,Mitotic Prophase,0.04116362344428581,3,134,2,34,MjAyNjA5MTMxMzA3NTBfMjMxMjA%3D
R-HSA-9705671,SARS-CoV-2 activates/modulates innate and adaptive immune responses,0.05215366271496258,3,159,2,48,MjAyNjA5MTMxMzA3NTBfMjMxMjA%3D
R-HSA-1169410,Antimicrobial mechanism of IFN-stimulated genes,0.05215366271496258,4,284,2,103,MjAyNjA5MTMxMzA3NTBfMjMxMjA%3D
R-HSA-162599,Late Phase of HIV Life Cycle,0.05391607038486779,3,161,2,78,MjAyNjA5MTMxMzA3NTBfMjMxMjA%3D
R-HSA-168273,Influenza Viral RNA Transcription and Replication,0.06520348015497834,3,173,2,14,MjAyNjA5MTMxMzA3NTBfMjMxMjA%3D
R-HSA-9610379,HCMV Late Events,0.06720425108919015,3,175,2,19,MjAyNjA5MTMxMzA3NTBfMjMxMjA%3D
R-HSA-1660661,Sphingolipid de novo biosynthesis,0.07511106089864095,2,68,2,18,MjAyNjA5MTMxMzA3NTBfMjMxMjA%3D
R-HSA-5619102,SLC transporter disorders,0.07772395254517672,3,185,1,64,MjAyNjA5MTMxMzA3NTBfMjMxMjA%3D
R-HSA-72306,tRNA processing,0.08217334340655169,3,189,1,57,MjAyNjA5MTMxMzA3NTBfMjMxMjA%3D
R-HSA-168255,Influenza Infection,0.09512300875262314,3,200,5,61,MjAyNjA5MTMxMzA3NTBfMjMxMjA%3D
R-HSA-177539,Autointegration results in viral DNA circles,0.10927277702857552,1,9,2,2,MjAyNjA5MTMxMzA3NTBfMjMxMjA%3D
R-HSA-175567,Integration of viral DNA into host genomic DNA,0.10927277702857552,1,9,1,3,MjAyNjA5MTMxMzA3NTBfMjMxMjA%3D
R-HSA-9609690,HCMV Early Events,0.11446994716315695,3,215,2,12,MjAyNjA5MTMxMzA3NTBfMjMxMjA%3D
R-HSA-446107,Type I hemidesmosome assembly,0.11664218044506458,1,11,6,6,MjAyNjA5MTMxMzA3NTBfMjMxMjA%3D
