stId,name,FDR,entities_found,entities_tot,reactions_found,reactions_tot,token
R-HSA-8953854,Metabolism of RNA,0.0001858833671386506,13,863,50,244,MjAyNjA5MTMxMzA3MzVfMjMxMTg%3D
R-HSA-9839923,Dengue Virus Infection,0.003329418057711475,8,411,6,142,MjAyNjA5MTMxMzA3MzVfMjMxMTg%3D
R-HSA-72203,Processing of Capped Intron-Containing Pre-mRNA,0.0035399736742869337,7,317,35,52,MjAyNjA5MTMxMzA3MzVfMjMxMTg%3D
R-HSA-72187,mRNA 3'-end processing,0.008515737644922972,5,164,16,21,MjAyNjA5MTMxMzA3MzVfMjMxMTg%3D
R-HSA-9918481,Dengue Virus-Host Interactions,0.008515737644922972,6,273,3,59,MjAyNjA5MTMxMzA3MzVfMjMxMTg%3D
R-HSA-111933,Calmodulin induced events,0.011045828203863906,3,44,9,23,MjAyNjA5MTMxMzA3MzVfMjMxMTg%3D
R-HSA-111997,CaM pathway,0.011045828203863906,3,44,9,24,MjAyNjA5MTMxMzA3MzVfMjMxMTg%3D
R-HSA-111996,Ca-dependent events,0.01441591903529238,3,50,9,27,MjAyNjA5MTMxMzA3MzVfMjMxMTg%3D
R-HSA-1489509,DAG and IP3 signaling,0.01601507421518633,3,54,10,28,MjAyNjA5MTMxMzA3MzVfMjMxMTg%3D
R-HSA-9770562,mRNA Polyadenylation,0.019672203021333656,4,139,15,20,MjAyNjA5MTMxMzA3MzVfMjMxMTg%3D
R-HSA-112043,PLC beta mediated events,0.027368379934154974,3,69,9,32,MjAyNjA5MTMxMzA3MzVfMjMxMTg%3D
R-HSA-112040,G-protein mediated events,0.03216050185258501,3,75,9,41,MjAyNjA5MTMxMzA3MzVfMjMxMTg%3D
R-HSA-77595,Processing of Intronless Pre-mRNAs,0.039939174847904546,2,21,5,5,MjAyNjA5MTMxMzA3MzVfMjMxMTg%3D
R-HSA-72202,Transport of Mature Transcript to Cytoplasm,0.046558478863665376,3,90,3,13,MjAyNjA5MTMxMzA3MzVfMjMxMTg%3D
R-HSA-195258,RHO GTPase Effectors,0.046558478863665376,5,325,10,113,MjAyNjA5MTMxMzA3MzVfMjMxMTg%3D
R-HSA-72163,mRNA Splicing - Major Pathway,0.05682754242159582,4,213,10,11,MjAyNjA5MTMxMzA3MzVfMjMxMTg%3D
R-HSA-75067,Processing of Capped Intronless Pre-mRNA,0.05682754242159582,2,30,5,10,MjAyNjA5MTMxMzA3MzVfMjMxMTg%3D
R-HSA-72172,mRNA Splicing,0.05682754242159582,4,224,15,16,MjAyNjA5MTMxMzA3MzVfMjMxMTg%3D
R-HSA-525793,Myogenesis,0.05682754242159582,2,32,7,14,MjAyNjA5MTMxMzA3MzVfMjMxMTg%3D
R-HSA-73856,RNA Polymerase II Transcription Termination,0.05682754242159582,2,30,1,3,MjAyNjA5MTMxMzA3MzVfMjMxMTg%3D
R-HSA-194315,Signaling by Rho GTPases,0.05682754242159582,7,708,22,203,MjAyNjA5MTMxMzA3MzVfMjMxMTg%3D
R-HSA-111885,Opioid Signalling,0.06001118173824982,3,115,9,59,MjAyNjA5MTMxMzA3MzVfMjMxMTg%3D
R-HSA-9716542,"Signaling by Rho GTPases, Miro GTPases and RHOBTB3",0.06001118173824982,7,724,22,212,MjAyNjA5MTMxMzA3MzVfMjMxMTg%3D
R-HSA-9824446,Viral Infection Pathways,0.06851034188994254,10,1407,14,899,MjAyNjA5MTMxMzA3MzVfMjMxMTg%3D
R-HSA-5663205,Infectious disease,0.09406105725017366,12,1965,17,1227,MjAyNjA5MTMxMzA3MzVfMjMxMTg%3D
R-HSA-9636667,Manipulation of host energy metabolism,0.10147930837792307,1,3,1,2,MjAyNjA5MTMxMzA3MzVfMjMxMTg%3D
R-HSA-163615,PKA activation,0.1540618264744804,1,23,3,4,MjAyNjA5MTMxMzA3MzVfMjMxMTg%3D
