stId,name,FDR,entities_found,entities_tot,reactions_found,reactions_tot,token
R-HSA-194315,Signaling by Rho GTPases,1.460799037289462e-09,23,708,60,203,MjAyNjA5MTMxMzA2MjlfMjMxMDg%3D
R-HSA-9716542,"Signaling by Rho GTPases, Miro GTPases and RHOBTB3",1.460799037289462e-09,23,724,60,212,MjAyNjA5MTMxMzA2MjlfMjMxMDg%3D
R-HSA-9006934,Signaling by Receptor Tyrosine Kinases,4.738776038237802e-09,21,634,234,759,MjAyNjA5MTMxMzA2MjlfMjMxMDg%3D
R-HSA-1500931,Cell-Cell communication,2.396719256392288e-08,16,365,22,208,MjAyNjA5MTMxMzA2MjlfMjMxMDg%3D
R-HSA-76002,"Platelet activation, signaling and aggregation",1.1024458845820817e-07,14,294,31,119,MjAyNjA5MTMxMzA2MjlfMjMxMDg%3D
R-HSA-9675108,Nervous system development,4.266738671265813e-07,18,603,69,322,MjAyNjA5MTMxMzA2MjlfMjMxMDg%3D
R-HSA-422475,Axon guidance,9.8043374807677e-07,17,566,68,295,MjAyNjA5MTMxMzA2MjlfMjMxMDg%3D
R-HSA-9009391,Extra-nuclear estrogen signaling,1.2085643683601432e-06,9,112,11,39,MjAyNjA5MTMxMzA2MjlfMjMxMDg%3D
R-HSA-5684996,MAPK1/MAPK3 signaling,1.4716725621477522e-06,13,316,31,82,MjAyNjA5MTMxMzA2MjlfMjMxMDg%3D
R-HSA-4420097,VEGFA-VEGFR2 Pathway,3.412562754712134e-06,9,130,34,79,MjAyNjA5MTMxMzA2MjlfMjMxMDg%3D
R-HSA-109582,Hemostasis,4.593626506399495e-06,19,821,43,366,MjAyNjA5MTMxMzA2MjlfMjMxMDg%3D
R-HSA-194138,Signaling by VEGF,5.671556640662878e-06,9,141,34,86,MjAyNjA5MTMxMzA2MjlfMjMxMDg%3D
R-HSA-5683057,MAPK family signaling cascades,5.716291189838962e-06,13,367,32,122,MjAyNjA5MTMxMzA2MjlfMjMxMDg%3D
R-HSA-5663213,RHO GTPases Activate WASPs and WAVEs,6.340309739893968e-06,6,41,10,10,MjAyNjA5MTMxMzA2MjlfMjMxMDg%3D
R-HSA-5673001,RAF/MAP kinase cascade,6.340309739893968e-06,12,309,24,75,MjAyNjA5MTMxMzA2MjlfMjMxMDg%3D
R-HSA-9012999,RHO GTPase cycle,8.850638070434513e-06,14,460,29,91,MjAyNjA5MTMxMzA2MjlfMjMxMDg%3D
R-HSA-195258,RHO GTPase Effectors,9.20989884956036e-06,12,325,31,113,MjAyNjA5MTMxMzA2MjlfMjMxMDg%3D
R-HSA-373753,Nephrin family interactions,1.3757479592868549e-05,5,25,4,13,MjAyNjA5MTMxMzA2MjlfMjMxMDg%3D
R-HSA-162582,Signal Transduction,1.392199221528223e-05,37,3056,430,2589,MjAyNjA5MTMxMzA2MjlfMjMxMDg%3D
R-HSA-5357801,Programmed Cell Death,1.6859967552074195e-05,10,225,13,194,MjAyNjA5MTMxMzA2MjlfMjMxMDg%3D
R-HSA-373760,L1CAM interactions,2.1791296474282795e-05,8,130,12,54,MjAyNjA5MTMxMzA2MjlfMjMxMDg%3D
R-HSA-75153,Apoptotic execution phase,2.1791296474282795e-05,6,54,8,57,MjAyNjA5MTMxMzA2MjlfMjMxMDg%3D
R-HSA-109581,Apoptosis,2.2457886839744035e-05,9,180,11,142,MjAyNjA5MTMxMzA2MjlfMjMxMDg%3D
R-HSA-74749,Signal attenuation,3.111787132770161e-05,4,13,6,7,MjAyNjA5MTMxMzA2MjlfMjMxMDg%3D
R-HSA-5663202,Diseases of signal transduction by growth factor receptors and second messengers,3.527386408130884e-05,14,536,189,516,MjAyNjA5MTMxMzA2MjlfMjMxMDg%3D
R-HSA-2029480,Fcgamma receptor (FCGR) dependent phagocytosis,3.756395689169523e-05,9,195,17,42,MjAyNjA5MTMxMzA2MjlfMjMxMDg%3D
R-HSA-1250196,SHC1 events in ERBB2 signaling,5.267290650967649e-05,5,36,6,6,MjAyNjA5MTMxMzA2MjlfMjMxMDg%3D
R-HSA-449147,Signaling by Interleukins,5.267290650967649e-05,15,646,46,505,MjAyNjA5MTMxMzA2MjlfMjMxMDg%3D
R-HSA-9842663,Signaling by LTK,5.87788372607978e-05,4,16,4,10,MjAyNjA5MTMxMzA2MjlfMjMxMDg%3D
R-HSA-1227986,Signaling by ERBB2,5.8808138556520895e-05,6,68,30,46,MjAyNjA5MTMxMzA2MjlfMjMxMDg%3D
R-HSA-166520,Signaling by NTRKs,9.465840364741851e-05,8,166,31,164,MjAyNjA5MTMxMzA2MjlfMjMxMDg%3D
R-HSA-9725370,Signaling by ALK fusions and activated point mutants,9.882670886918188e-05,7,119,33,63,MjAyNjA5MTMxMzA2MjlfMjMxMDg%3D
R-HSA-1280215,Cytokine Signaling in Immune system,9.882670886918188e-05,20,1193,71,823,MjAyNjA5MTMxMzA2MjlfMjMxMDg%3D
R-HSA-9700206,Signaling by ALK in cancer,9.882670886918188e-05,7,119,34,71,MjAyNjA5MTMxMzA2MjlfMjMxMDg%3D
R-HSA-9613829,Chaperone Mediated Autophagy,0.00020327268911435326,4,23,17,19,MjAyNjA5MTMxMzA2MjlfMjMxMDg%3D
R-HSA-6798695,Neutrophil degranulation,0.00022969516565307657,12,478,8,10,MjAyNjA5MTMxMzA2MjlfMjMxMDg%3D
R-HSA-8939211,ESR-mediated signaling,0.00024018638122369484,9,257,18,114,MjAyNjA5MTMxMzA2MjlfMjMxMDg%3D
R-HSA-9842640,Signaling by LTK in cancer,0.00039990993349015014,3,9,2,4,MjAyNjA5MTMxMzA2MjlfMjMxMDg%3D
R-HSA-982772,Growth hormone receptor signaling,0.00042113920779252023,4,29,4,28,MjAyNjA5MTMxMzA2MjlfMjMxMDg%3D
R-HSA-9634638,Estrogen-dependent nuclear events downstream of ESR-membrane signaling,0.00042113920779252023,4,29,3,12,MjAyNjA5MTMxMzA2MjlfMjMxMDg%3D
R-HSA-2029482,Regulation of actin dynamics for phagocytic cup formation,0.0005106856263010773,7,158,14,24,MjAyNjA5MTMxMzA2MjlfMjMxMDg%3D
